# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~2})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_2
Title=Rapidity of second jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_2
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_2
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_2
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.357651e+04	9.600047e+03	9.600047e+03
-4.800000e+00	-4.600000e+00	8.145910e+04	2.351522e+04	2.351522e+04
-4.600000e+00	-4.400000e+00	1.425535e+05	3.110771e+04	3.110771e+04
-4.400000e+00	-4.200000e+00	2.783186e+05	4.346606e+04	4.346606e+04
-4.200000e+00	-4.000000e+00	4.208720e+05	5.345080e+04	5.345080e+04
-4.000000e+00	-3.800000e+00	6.788260e+05	6.788258e+04	6.788258e+04
-3.800000e+00	-3.600000e+00	5.905785e+05	6.331666e+04	6.331666e+04
-3.600000e+00	-3.400000e+00	1.058968e+06	8.478532e+04	8.478532e+04
-3.400000e+00	-3.200000e+00	1.065757e+06	8.505664e+04	8.505664e+04
-3.200000e+00	-3.000000e+00	1.303345e+06	9.406087e+04	9.406087e+04
-3.000000e+00	-2.800000e+00	1.398381e+06	9.742983e+04	9.742983e+04
-2.800000e+00	-2.600000e+00	1.690277e+06	1.071169e+05	1.071169e+05
-2.600000e+00	-2.400000e+00	2.070419e+06	1.185518e+05	1.185518e+05
-2.400000e+00	-2.200000e+00	1.907501e+06	1.137919e+05	1.137919e+05
-2.200000e+00	-2.000000e+00	2.443773e+06	1.287981e+05	1.287981e+05
-2.000000e+00	-1.800000e+00	2.532021e+06	1.311031e+05	1.311031e+05
-1.800000e+00	-1.600000e+00	3.041140e+06	1.436803e+05	1.436803e+05
-1.600000e+00	-1.400000e+00	2.871433e+06	1.396139e+05	1.396139e+05
-1.400000e+00	-1.200000e+00	2.871434e+06	1.396139e+05	1.396139e+05
-1.200000e+00	-1.000000e+00	3.366976e+06	1.511817e+05	1.511817e+05
-1.000000e+00	-8.000000e-01	3.271941e+06	1.490328e+05	1.490328e+05
-8.000000e-01	-6.000000e-01	3.278729e+06	1.491873e+05	1.491873e+05
-6.000000e-01	-4.000000e-01	3.502742e+06	1.541996e+05	1.541996e+05
-4.000000e-01	-2.000000e-01	3.394130e+06	1.517901e+05	1.517901e+05
-2.000000e-01	0.000000e+00	3.353400e+06	1.508766e+05	1.508766e+05
0.000000e+00	2.000000e-01	3.570624e+06	1.556866e+05	1.556866e+05
2.000000e-01	4.000000e-01	3.441647e+06	1.528489e+05	1.528489e+05
4.000000e-01	6.000000e-01	3.387341e+06	1.516382e+05	1.516382e+05
6.000000e-01	8.000000e-01	3.753907e+06	1.596324e+05	1.596324e+05
8.000000e-01	1.000000e+00	3.041140e+06	1.436803e+05	1.436803e+05
1.000000e+00	1.200000e+00	3.333035e+06	1.504178e+05	1.504178e+05
1.200000e+00	1.400000e+00	3.142964e+06	1.460659e+05	1.460659e+05
1.400000e+00	1.600000e+00	2.810339e+06	1.381206e+05	1.381206e+05
1.600000e+00	1.800000e+00	2.715304e+06	1.357652e+05	1.357652e+05
1.800000e+00	2.000000e+00	2.640633e+06	1.338854e+05	1.338854e+05
2.000000e+00	2.200000e+00	2.430196e+06	1.284399e+05	1.284399e+05
2.200000e+00	2.400000e+00	2.131513e+06	1.202882e+05	1.202882e+05
2.400000e+00	2.600000e+00	2.022901e+06	1.171835e+05	1.171835e+05
2.600000e+00	2.800000e+00	1.764947e+06	1.094574e+05	1.094574e+05
2.800000e+00	3.000000e+00	1.602029e+06	1.042832e+05	1.042832e+05
3.000000e+00	3.200000e+00	1.384804e+06	9.695572e+04	9.695572e+04
3.200000e+00	3.400000e+00	9.028385e+05	7.828601e+04	7.828601e+04
3.400000e+00	3.600000e+00	9.299915e+05	7.945453e+04	7.945453e+04
3.600000e+00	3.800000e+00	6.788260e+05	6.788258e+04	6.788258e+04
3.800000e+00	4.000000e+00	6.720375e+05	6.754232e+04	6.754232e+04
4.000000e+00	4.200000e+00	3.529894e+05	4.895083e+04	4.895083e+04
4.200000e+00	4.400000e+00	2.443773e+05	4.072955e+04	4.072955e+04
4.400000e+00	4.600000e+00	1.561300e+05	3.255535e+04	3.255535e+04
4.600000e+00	4.800000e+00	6.788260e+04	2.146636e+04	2.146636e+04
4.800000e+00	5.000000e+00	2.715303e+04	1.357652e+04	1.357652e+04
# END HISTO1D

