# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~3})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_3
Title=Rapidity of third jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_3
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_3
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_3
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	7.467085e+04	1.591988e+04	1.591988e+04
-4.600000e+00	-4.200000e+00	1.221887e+05	2.036478e+04	2.036478e+04
-4.200000e+00	-3.800000e+00	2.986835e+05	3.183976e+04	3.183976e+04
-3.800000e+00	-3.400000e+00	4.446310e+05	3.884759e+04	3.884759e+04
-3.400000e+00	-3.000000e+00	5.328783e+05	4.252832e+04	4.252832e+04
-3.000000e+00	-2.600000e+00	6.448845e+05	4.678484e+04	4.678484e+04
-2.600000e+00	-2.200000e+00	7.704673e+05	5.113771e+04	5.113771e+04
-2.200000e+00	-1.800000e+00	9.198090e+05	5.587442e+04	5.587442e+04
-1.800000e+00	-1.400000e+00	1.058968e+06	5.995228e+04	5.995228e+04
-1.400000e+00	-1.000000e+00	1.208310e+06	6.404030e+04	6.404030e+04
-1.000000e+00	-6.000000e-01	1.245646e+06	6.502216e+04	6.502216e+04
-6.000000e-01	-2.000000e-01	1.286375e+06	6.607665e+04	6.607665e+04
-2.000000e-01	2.000000e-01	1.357652e+06	6.788259e+04	6.788259e+04
2.000000e-01	6.000000e-01	1.459476e+06	7.038216e+04	7.038216e+04
6.000000e-01	1.000000e+00	1.252434e+06	6.519909e+04	6.519909e+04
1.000000e+00	1.400000e+00	1.316922e+06	6.685659e+04	6.685659e+04
1.400000e+00	1.800000e+00	1.069151e+06	6.023982e+04	6.023982e+04
1.800000e+00	2.200000e+00	1.069151e+06	6.023982e+04	6.023982e+04
2.200000e+00	2.600000e+00	8.179853e+05	5.269106e+04	5.269106e+04
2.600000e+00	3.000000e+00	7.534968e+05	5.057139e+04	5.057139e+04
3.000000e+00	3.400000e+00	6.007610e+05	4.515595e+04	4.515595e+04
3.400000e+00	3.800000e+00	4.751780e+05	4.015988e+04	4.015988e+04
3.800000e+00	4.200000e+00	2.511655e+05	2.919740e+04	2.919740e+04
4.200000e+00	4.600000e+00	1.731006e+05	2.423893e+04	2.423893e+04
4.600000e+00	5.000000e+00	5.430607e+04	1.357652e+04	1.357652e+04
# END HISTO1D

