# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~4})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_4
Title=Rapidity of fourth jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_4
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_4
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_4
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	3.733542e+04	1.125705e+04	1.125705e+04
-4.600000e+00	-4.200000e+00	6.788258e+04	1.517901e+04	1.517901e+04
-4.200000e+00	-3.800000e+00	1.120063e+05	1.949779e+04	1.949779e+04
-3.800000e+00	-3.400000e+00	1.255828e+05	2.064568e+04	2.064568e+04
-3.400000e+00	-3.000000e+00	1.391593e+05	2.173303e+04	2.173303e+04
-3.000000e+00	-2.600000e+00	1.832830e+05	2.494165e+04	2.494165e+04
-2.600000e+00	-2.200000e+00	2.036478e+05	2.629081e+04	2.629081e+04
-2.200000e+00	-1.800000e+00	2.783185e+05	3.073515e+04	3.073515e+04
-1.800000e+00	-1.400000e+00	2.817127e+05	3.092199e+04	3.092199e+04
-1.400000e+00	-1.000000e+00	3.631718e+05	3.510914e+04	3.510914e+04
-1.000000e+00	-6.000000e-01	4.378428e+05	3.854989e+04	3.854989e+04
-6.000000e-01	-2.000000e-01	4.310545e+05	3.824989e+04	3.824989e+04
-2.000000e-01	2.000000e-01	4.514192e+05	3.914301e+04	3.914301e+04
2.000000e-01	6.000000e-01	4.106898e+05	3.733542e+04	3.733542e+04
6.000000e-01	1.000000e+00	4.514192e+05	3.914301e+04	3.914301e+04
1.000000e+00	1.400000e+00	3.699600e+05	3.543575e+04	3.543575e+04
1.400000e+00	1.800000e+00	3.462012e+05	3.427903e+04	3.427903e+04
1.800000e+00	2.200000e+00	3.122600e+05	3.255535e+04	3.255535e+04
2.200000e+00	2.600000e+00	2.511655e+05	2.919740e+04	2.919740e+04
2.600000e+00	3.000000e+00	1.968595e+05	2.584892e+04	2.584892e+04
3.000000e+00	3.400000e+00	2.172243e+05	2.715304e+04	2.715304e+04
3.400000e+00	3.800000e+00	1.120063e+05	1.949779e+04	1.949779e+04
3.800000e+00	4.200000e+00	9.164150e+04	1.763641e+04	1.763641e+04
4.200000e+00	4.600000e+00	6.109433e+04	1.440007e+04	1.440007e+04
4.600000e+00	5.000000e+00	5.091195e+04	1.314541e+04	1.314541e+04
# END HISTO1D

