# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_1
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_1
Title=Rapidity $+/-$ ratio of first jet
LogY=1
XLabel=$|y(\mathrm{jet~1}|$
YLabel=$y(\mathrm{jet~1})_+/y(\mathrm{jet~1})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_1
ErrorBreakdown={0: {"": {up: 0.0617923479100897, dn: 0.0617923479100897}}, 1: {"": {up: 0.05732255076082855, dn: 0.05732255076082855}}, 2: {"": {up: 0.06024109334188023, dn: 0.06024109334188023}}, 3: {"": {up: 0.06553841737352105, dn: 0.06553841737352105}}, 4: {"": {up: 0.0628985779404849, dn: 0.0628985779404849}}, 5: {"": {up: 0.06306001863530149, dn: 0.06306001863530149}}, 6: {"": {up: 0.06795174381228704, dn: 0.06795174381228704}}, 7: {"": {up: 0.06010811560817753, dn: 0.06010811560817753}}, 8: {"": {up: 0.06945374584902843, dn: 0.06945374584902843}}, 9: {"": {up: 0.06965987289164045, dn: 0.06965987289164045}}, 10: {"": {up: 0.08833926059877192, dn: 0.08833926059877192}}, 11: {"": {up: 0.08527720428935771, dn: 0.08527720428935771}}, 12: {"": {up: 0.09701240168733009, dn: 0.09701240168733009}}, 13: {"": {up: 0.1061253402052619, dn: 0.1061253402052619}}, 14: {"": {up: 0.09870418005683602, dn: 0.09870418005683602}}, 15: {"": {up: 0.0862401082186422, dn: 0.0862401082186422}}, 16: {"": {up: 0.1039277465354704, dn: 0.1039277465354704}}, 17: {"": {up: 0.1183878143689815, dn: 0.1183878143689815}}, 18: {"": {up: 0.1850857277461631, dn: 0.1850857277461631}}, 19: {"": {up: 0.1301582746911936, dn: 0.1301582746911936}}, 20: {"": {up: 0.1599503683963285, dn: 0.1599503683963285}}, 21: {"": {up: 0.2294157338705617, dn: 0.2294157338705617}}, 22: {"": {up: 0.2486443242867209, dn: 0.2486443242867209}}, 23: {"": {up: 0.2503813496903189, dn: 0.2503813496903189}}, 24: {"": {up: 0.2957423825752947, dn: 0.2957423825752947}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_1
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.029250e+00	6.179235e-02	6.179235e-02
2.000000e-01	4.000000e-01	9.365942e-01	5.732255e-02	5.732255e-02
4.000000e-01	6.000000e-01	9.889299e-01	6.024109e-02	6.024109e-02
6.000000e-01	8.000000e-01	1.044266e+00	6.553842e-02	6.553842e-02
8.000000e-01	1.000000e+00	9.940120e-01	6.289858e-02	6.289858e-02
1.000000e+00	1.200000e+00	9.773663e-01	6.306002e-02	6.306002e-02
1.200000e+00	1.400000e+00	1.013575e+00	6.795174e-02	6.795174e-02
1.400000e+00	1.600000e+00	8.957447e-01	6.010812e-02	6.010812e-02
1.600000e+00	1.800000e+00	9.877150e-01	6.945375e-02	6.945375e-02
1.800000e+00	2.000000e+00	9.851117e-01	6.965987e-02	6.965987e-02
2.000000e+00	2.200000e+00	1.124183e+00	8.833926e-02	8.833926e-02
2.200000e+00	2.400000e+00	1.077922e+00	8.527720e-02	8.527720e-02
2.400000e+00	2.600000e+00	1.101626e+00	9.701240e-02	9.701240e-02
2.600000e+00	2.800000e+00	1.165179e+00	1.061253e-01	1.061253e-01
2.800000e+00	3.000000e+00	1.028037e+00	9.870418e-02	9.870418e-02
3.000000e+00	3.200000e+00	8.349515e-01	8.624011e-02	8.624011e-02
3.200000e+00	3.400000e+00	8.910256e-01	1.039277e-01	1.039277e-01
3.400000e+00	3.600000e+00	9.296875e-01	1.183878e-01	1.183878e-01
3.600000e+00	3.800000e+00	1.306818e+00	1.850857e-01	1.850857e-01
3.800000e+00	4.000000e+00	8.000000e-01	1.301583e-01	1.301583e-01
4.000000e+00	4.200000e+00	8.070175e-01	1.599504e-01	1.599504e-01
4.200000e+00	4.400000e+00	1.000000e+00	2.294157e-01	2.294157e-01
4.400000e+00	4.600000e+00	8.400000e-01	2.486443e-01	2.486443e-01
4.600000e+00	4.800000e+00	6.470588e-01	2.503813e-01	2.503813e-01
4.800000e+00	5.000000e+00	4.285714e-01	2.957424e-01	2.957424e-01
# END HISTO1D

