# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_2
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_2
Title=Rapidity $+/-$ ratio of second jet
LogY=1
XLabel=$|y(\mathrm{jet~2}|$
YLabel=$y(\mathrm{jet~2})_+/y(\mathrm{jet~2})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_2
ErrorBreakdown={0: {"": {up: 0.06671178091305378, dn: 0.06671178091305378}}, 1: {"": {up: 0.06390924815705469, dn: 0.06390924815705469}}, 2: {"": {up: 0.06071678139620108, dn: 0.06071678139620108}}, 3: {"": {up: 0.07130528946219614, dn: 0.07130528946219614}}, 4: {"": {up: 0.06099720339796654, dn: 0.06099720339796654}}, 5: {"": {up: 0.06301976910646248, dn: 0.06301976910646248}}, 6: {"": {up: 0.07362016820772047, dn: 0.07362016820772047}}, 7: {"": {up: 0.06766317124557589, dn: 0.06766317124557589}}, 8: {"": {up: 0.06142015396766012, dn: 0.06142015396766012}}, 9: {"": {up: 0.07557689382012536, dn: 0.07557689382012536}}, 10: {"": {up: 0.07422496206224213, dn: 0.07422496206224213}}, 11: {"": {up: 0.09176220207256515, dn: 0.09176220207256515}}, 12: {"": {up: 0.07958239942796537, dn: 0.07958239942796537}}, 13: {"": {up: 0.09258626069948706, dn: 0.09258626069948706}}, 14: {"": {up: 0.1092361299950975, dn: 0.1092361299950975}}, 15: {"": {up: 0.1068343307123229, dn: 0.1068343307123229}}, 16: {"": {up: 0.09983328018941025, dn: 0.09983328018941025}}, 17: {"": {up: 0.102827007308981, dn: 0.102827007308981}}, 18: {"": {up: 0.1685163036067131, dn: 0.1685163036067131}}, 19: {"": {up: 0.140360250783475, dn: 0.140360250783475}}, 20: {"": {up: 0.1577126623885386, dn: 0.1577126623885386}}, 21: {"": {up: 0.2005491510464744, dn: 0.2005491510464744}}, 22: {"": {up: 0.3305683835672004, dn: 0.3305683835672004}}, 23: {"": {up: 0.3568120160740315, dn: 0.3568120160740315}}, 24: {"": {up: 1.732050807568877, dn: 1.732050807568877}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_2
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.064777e+00	6.671178e-02	6.671178e-02
2.000000e-01	4.000000e-01	1.014000e+00	6.390925e-02	6.390925e-02
4.000000e-01	6.000000e-01	9.670543e-01	6.071678e-02	6.071678e-02
6.000000e-01	8.000000e-01	1.144928e+00	7.130529e-02	7.130529e-02
8.000000e-01	1.000000e+00	9.294606e-01	6.099720e-02	6.099720e-02
1.000000e+00	1.200000e+00	9.899194e-01	6.301977e-02	6.301977e-02
1.200000e+00	1.400000e+00	1.094563e+00	7.362017e-02	7.362017e-02
1.400000e+00	1.600000e+00	9.787234e-01	6.766317e-02	6.766317e-02
1.600000e+00	1.800000e+00	8.928571e-01	6.142015e-02	6.142015e-02
1.800000e+00	2.000000e+00	1.042895e+00	7.557689e-02	7.557689e-02
2.000000e+00	2.200000e+00	9.944444e-01	7.422496e-02	7.422496e-02
2.200000e+00	2.400000e+00	1.117438e+00	9.176220e-02	9.176220e-02
2.400000e+00	2.600000e+00	9.770492e-01	7.958240e-02	7.958240e-02
2.600000e+00	2.800000e+00	1.044177e+00	9.258626e-02	9.258626e-02
2.800000e+00	3.000000e+00	1.145631e+00	1.092361e-01	1.092361e-01
3.000000e+00	3.200000e+00	1.062500e+00	1.068343e-01	1.068343e-01
3.200000e+00	3.400000e+00	8.471338e-01	9.983328e-02	9.983328e-02
3.400000e+00	3.600000e+00	8.782051e-01	1.028270e-01	1.028270e-01
3.600000e+00	3.800000e+00	1.149425e+00	1.685163e-01	1.685163e-01
3.800000e+00	4.000000e+00	9.900000e-01	1.403603e-01	1.403603e-01
4.000000e+00	4.200000e+00	8.387097e-01	1.577127e-01	1.577127e-01
4.200000e+00	4.400000e+00	8.780488e-01	2.005492e-01	2.005492e-01
4.400000e+00	4.600000e+00	1.095238e+00	3.305684e-01	3.305684e-01
4.600000e+00	4.800000e+00	8.333333e-01	3.568120e-01	3.568120e-01
4.800000e+00	5.000000e+00	2.000000e+00	1.732051e+00	1.732051e+00
# END HISTO1D

