# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_3
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_3
Title=Rapidity $+/-$ ratio of third jet
LogY=1
XLabel=$|y(\mathrm{jet~3}|$
YLabel=$y(\mathrm{jet~3})_+/y(\mathrm{jet~3})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_3
ErrorBreakdown={0: {"": {up: 0.08032269281255823, dn: 0.08032269281255823}}, 1: {"": {up: 0.08351046792880421, dn: 0.08351046792880421}}, 2: {"": {up: 0.08310912045076295, dn: 0.08310912045076295}}, 3: {"": {up: 0.0868559119355521, dn: 0.0868559119355521}}, 4: {"": {up: 0.08958480168480158, dn: 0.08958480168480158}}, 5: {"": {up: 0.09251402797826704, dn: 0.09251402797826704}}, 6: {"": {up: 0.1178713513150777, dn: 0.1178713513150777}}, 7: {"": {up: 0.1050751875214449, dn: 0.1050751875214449}}, 8: {"": {up: 0.1278316799578634, dn: 0.1278316799578634}}, 9: {"": {up: 0.1339808228411419, dn: 0.1339808228411419}}, 10: {"": {up: 0.1486640194909397, dn: 0.1486640194909397}}, 11: {"": {up: 0.1285353508192929, dn: 0.1285353508192929}}, 12: {"": {up: 0.1750131475151381, dn: 0.1750131475151381}}, 13: {"": {up: 0.3914281543272021, dn: 0.3914281543272021}}, 14: {"": {up: 0.3098386676965935, dn: 0.3098386676965935}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_3
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	1.042424e+00	8.032269e-02	8.032269e-02
3.333333e-01	6.666667e-01	1.066456e+00	8.351047e-02	8.351047e-02
6.666666e-01	1.000000e+00	1.032895e+00	8.310912e-02	8.310912e-02
1.000000e+00	1.333334e+00	1.080537e+00	8.685591e-02	8.685591e-02
1.333333e+00	1.666667e+00	1.052045e+00	8.958480e-02	8.958480e-02
1.666666e+00	2.000000e+00	1.040323e+00	9.251403e-02	9.251403e-02
2.000000e+00	2.333334e+00	1.232323e+00	1.178714e-01	1.178714e-01
2.333333e+00	2.666667e+00	1.021390e+00	1.050752e-01	1.050752e-01
2.666666e+00	3.000000e+00	1.173077e+00	1.278317e-01	1.278317e-01
3.000000e+00	3.333334e+00	1.145985e+00	1.339808e-01	1.339808e-01
3.333333e+00	3.666667e+00	1.144144e+00	1.486640e-01	1.486640e-01
3.666666e+00	4.000000e+00	8.241758e-01	1.285354e-01	1.285354e-01
4.000000e+00	4.333334e+00	8.909091e-01	1.750131e-01	1.750131e-01
4.333333e+00	4.666667e+00	1.520000e+00	3.914282e-01	3.914282e-01
4.666666e+00	5.000000e+00	8.000000e-01	3.098387e-01	3.098387e-01
# END HISTO1D

