# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_4
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_4
Title=Rapidity $+/-$ ratio of fourth jet
LogY=1
XLabel=$|y(\mathrm{jet~4}|$
YLabel=$y(\mathrm{jet~4})_+/y(\mathrm{jet~4})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_4
ErrorBreakdown={0: {"": {up: 0.1141869737400618, dn: 0.1141869737400618}}, 1: {"": {up: 0.1232825618599397, dn: 0.1232825618599397}}, 2: {"": {up: 0.158290871499275, dn: 0.158290871499275}}, 3: {"": {up: 0.1450952500220023, dn: 0.1450952500220023}}, 4: {"": {up: 0.2050772693952067, dn: 0.2050772693952067}}, 5: {"": {up: 0.1907295433763538, dn: 0.1907295433763538}}, 6: {"": {up: 0.2057664608410509, dn: 0.2057664608410509}}, 7: {"": {up: 0.2357733716519618, dn: 0.2357733716519618}}, 8: {"": {up: 0.2073108589663608, dn: 0.2073108589663608}}, 9: {"": {up: 0.3370739194308776, dn: 0.3370739194308776}}, 10: {"": {up: 0.2693950653942351, dn: 0.2693950653942351}}, 11: {"": {up: 0.170543893114758, dn: 0.170543893114758}}, 12: {"": {up: 0.3884477215445006, dn: 0.3884477215445006}}, 13: {"": {up: 0.3779644730092273, dn: 0.3779644730092273}}, 14: {"": {up: 0.5493480360811602, dn: 0.5493480360811602}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_pmratio_4
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	8.275862e-01	1.141870e-01	1.141870e-01
3.333333e-01	6.666667e-01	9.026549e-01	1.232826e-01	1.232826e-01
6.666666e-01	1.000000e+00	1.160000e+00	1.582909e-01	1.582909e-01
1.000000e+00	1.333334e+00	1.000000e+00	1.450953e-01	1.450953e-01
1.333333e+00	1.666667e+00	1.275362e+00	2.050773e-01	2.050773e-01
1.666666e+00	2.000000e+00	1.183099e+00	1.907295e-01	1.907295e-01
2.000000e+00	2.333334e+00	1.092593e+00	2.057665e-01	2.057665e-01
2.333333e+00	2.666667e+00	1.224490e+00	2.357734e-01	2.357734e-01
2.666666e+00	3.000000e+00	1.020833e+00	2.073109e-01	2.073109e-01
3.000000e+00	3.333334e+00	1.583333e+00	3.370739e-01	3.370739e-01
3.333333e+00	3.666667e+00	1.034483e+00	2.693951e-01	2.693951e-01
3.666666e+00	4.000000e+00	6.388889e-01	1.705439e-01	1.705439e-01
4.000000e+00	4.333334e+00	1.222222e+00	3.884477e-01	3.884477e-01
4.333333e+00	4.666667e+00	1.000000e+00	3.779645e-01	3.779645e-01
4.666666e+00	5.000000e+00	1.222222e+00	5.493480e-01	5.493480e-01
# END HISTO1D

