# BEGIN PLOT
LegendXPos=0.10
XLabel=$\Delta{R}(\mathrm{jet~1,~jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mathrm{jet~1,~jet~2})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jets_dR_12
Title=$\Delta R$ separation between jets
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jets_dR_12
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jets_dR_12
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jets_dR_12
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	6.109435e+04	2.036477e+04	2.036477e+04
6.000000e-01	8.000000e-01	7.467085e+04	2.251411e+04	2.251411e+04
8.000000e-01	1.000000e+00	5.430605e+04	1.920010e+04	1.920010e+04
1.000000e+00	1.200000e+00	6.788260e+04	2.146636e+04	2.146636e+04
1.200000e+00	1.400000e+00	7.467085e+04	2.251411e+04	2.251411e+04
1.400000e+00	1.600000e+00	6.788260e+04	2.146636e+04	2.146636e+04
1.600000e+00	1.800000e+00	1.493417e+05	3.183976e+04	3.183976e+04
1.800000e+00	2.000000e+00	1.968595e+05	3.655589e+04	3.655589e+04
2.000000e+00	2.200000e+00	3.326246e+05	4.751781e+04	4.751781e+04
2.200000e+00	2.400000e+00	8.621090e+05	7.649979e+04	7.649979e+04
2.400000e+00	2.600000e+00	1.948230e+06	1.150004e+05	1.150004e+05
2.600000e+00	2.800000e+00	4.324121e+06	1.713279e+05	1.713279e+05
2.800000e+00	3.000000e+00	1.018239e+07	2.629081e+05	2.629081e+05
3.000000e+00	3.200000e+00	2.139659e+07	3.811110e+05	3.811110e+05
3.200000e+00	3.400000e+00	1.327105e+07	3.001454e+05	3.001454e+05
3.400000e+00	3.600000e+00	9.659690e+06	2.560712e+05	2.560712e+05
3.600000e+00	3.800000e+00	7.562120e+06	2.265692e+05	2.265692e+05
3.800000e+00	4.000000e+00	5.634255e+06	1.955678e+05	1.955678e+05
4.000000e+00	4.200000e+00	4.079743e+06	1.664162e+05	1.664162e+05
4.200000e+00	4.400000e+00	3.265152e+06	1.488781e+05	1.488781e+05
4.400000e+00	4.600000e+00	2.430197e+06	1.284399e+05	1.284399e+05
4.600000e+00	4.800000e+00	1.873559e+06	1.127750e+05	1.127750e+05
4.800000e+00	5.000000e+00	1.357651e+06	9.600047e+04	9.600047e+04
# END HISTO1D

