# BEGIN PLOT
LegendXPos=0.30
XLabel=$\Delta\eta(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\mathrm{jet~1,~jet~3})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jets_deta_13
Title=Pseudorapidity separation between jets
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jets_deta_13
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jets_deta_13
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jets_deta_13
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.629182e+05	2.351522e+04	2.351522e+04
-4.600000e+00	-4.200000e+00	2.138302e+05	2.694006e+04	2.694006e+04
-4.200000e+00	-3.800000e+00	3.292305e+05	3.342830e+04	3.342830e+04
-3.800000e+00	-3.400000e+00	4.174780e+05	3.764271e+04	3.764271e+04
-3.400000e+00	-3.000000e+00	5.023313e+05	4.129137e+04	4.129137e+04
-3.000000e+00	-2.600000e+00	7.093730e+05	4.906836e+04	4.906836e+04
-2.600000e+00	-2.200000e+00	7.976205e+05	5.203102e+04	5.203102e+04
-2.200000e+00	-1.800000e+00	1.011450e+06	5.859175e+04	5.859175e+04
-1.800000e+00	-1.400000e+00	1.025027e+06	5.898368e+04	5.898368e+04
-1.400000e+00	-1.000000e+00	1.150610e+06	6.249255e+04	6.249255e+04
-1.000000e+00	-6.000000e-01	1.249040e+06	6.511069e+04	6.511069e+04
-6.000000e-01	-2.000000e-01	1.371228e+06	6.822115e+04	6.822115e+04
-2.000000e-01	2.000000e-01	1.401775e+06	6.897686e+04	6.897686e+04
2.000000e-01	6.000000e-01	1.333893e+06	6.728599e+04	6.728599e+04
6.000000e-01	1.000000e+00	1.232069e+06	6.466685e+04	6.466685e+04
1.000000e+00	1.400000e+00	1.055574e+06	5.985612e+04	5.985612e+04
1.400000e+00	1.800000e+00	8.519265e+05	5.377312e+04	5.377312e+04
1.800000e+00	2.200000e+00	8.010145e+05	5.214160e+04	5.214160e+04
2.200000e+00	2.600000e+00	7.501025e+05	5.045736e+04	5.045736e+04
2.600000e+00	3.000000e+00	6.041550e+05	4.528333e+04	4.528333e+04
3.000000e+00	3.400000e+00	5.260900e+05	4.225657e+04	4.225657e+04
3.400000e+00	3.800000e+00	4.072955e+05	3.718083e+04	3.718083e+04
3.800000e+00	4.200000e+00	2.749245e+05	3.054717e+04	3.054717e+04
4.200000e+00	4.600000e+00	2.477714e+05	2.899945e+04	2.899945e+04
4.600000e+00	5.000000e+00	2.036477e+05	2.629081e+04	2.629081e+04
# END HISTO1D

