# BEGIN PLOT
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~1,~jet~3})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jets_dphi_13
Title=Azimuthal separation between jets
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jets_dphi_13
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jets_dphi_13
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jets_dphi_13
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	7.022502e+05	8.710343e+04	8.710343e+04
1.256637e-01	2.513274e-01	6.266233e+05	8.227968e+04	8.227968e+04
2.513274e-01	3.769911e-01	6.590348e+05	8.438076e+04	8.438076e+04
3.769911e-01	5.026548e-01	8.102889e+05	9.356409e+04	9.356409e+04
5.026548e-01	6.283185e-01	7.454656e+05	8.974353e+04	8.974353e+04
6.283185e-01	7.539822e-01	7.346618e+05	8.909081e+04	8.909081e+04
7.539822e-01	8.796459e-01	8.427000e+05	9.541701e+04	9.541701e+04
8.796459e-01	1.005310e+00	7.346595e+05	8.909053e+04	8.909053e+04
1.005310e+00	1.130973e+00	7.670776e+05	9.103537e+04	9.103537e+04
1.130973e+00	1.256637e+00	7.346600e+05	8.909060e+04	8.909060e+04
1.256637e+00	1.382301e+00	1.091186e+06	1.085771e+05	1.085771e+05
1.382301e+00	1.507964e+00	1.166822e+06	1.122775e+05	1.122775e+05
1.507964e+00	1.633628e+00	1.609770e+06	1.318775e+05	1.318775e+05
1.633628e+00	1.759292e+00	1.793435e+06	1.391975e+05	1.391975e+05
1.759292e+00	1.884956e+00	2.052726e+06	1.489204e+05	1.489204e+05
1.884956e+00	2.010619e+00	2.193194e+06	1.539320e+05	1.539320e+05
2.010619e+00	2.136283e+00	2.917033e+06	1.775249e+05	1.775249e+05
2.136283e+00	2.261947e+00	3.338382e+06	1.899139e+05	1.899139e+05
2.261947e+00	2.387610e+00	3.522075e+06	1.950697e+05	1.950697e+05
2.387610e+00	2.513274e+00	4.494391e+06	2.203556e+05	2.203556e+05
2.513274e+00	2.638938e+00	4.850917e+06	2.289289e+05	2.289289e+05
2.638938e+00	2.764602e+00	5.963710e+06	2.538323e+05	2.538323e+05
2.764602e+00	2.890265e+00	6.255463e+06	2.599682e+05	2.599682e+05
2.890265e+00	3.015929e+00	6.482294e+06	2.646386e+05	2.646386e+05
3.015929e+00	3.141593e+00	6.460686e+06	2.641971e+05	2.641971e+05
# END HISTO1D

