# BEGIN PLOT
LegendOnly=/ATLAS_2018_I1634970/d05-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2018_I1634970/d05-x01-y01
DrawOnly=/ATLAS_2018_I1634970/d05-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2018_I1634970/d05-x01-y01
Title=Inclusive jet cross section ($2.0 \leq |y| < 2.5$), $R = 0.4$
RatioPlotReference=/ATLAS_2018_I1634970/d05-x01-y01
RatioPlot=1
LogX=1
LogY=1
XLabel=$p_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}^2\sigma / \mathrm{d}p_\mathrm{T}\mathrm{d}y$ [pb/GeV]
YMin=0.000001
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2018_I1634970/d05-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2018_I1634970/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	1.160000e+02	6.646300e+03	6.129066e+02	5.730997e+02
1.160000e+02	1.340000e+02	3.047100e+03	2.932156e+02	2.737546e+02
1.340000e+02	1.520000e+02	1.472800e+03	1.308935e+02	1.382460e+02
1.520000e+02	1.720000e+02	7.566000e+02	5.757441e+01	6.223857e+01
1.720000e+02	1.940000e+02	3.898300e+02	2.690321e+01	2.730723e+01
1.940000e+02	2.160000e+02	2.084570e+02	1.390709e+01	1.395476e+01
2.160000e+02	2.400000e+02	1.137470e+02	7.489624e+00	7.603052e+00
2.400000e+02	2.640000e+02	6.285000e+01	4.106955e+00	4.049906e+00
2.640000e+02	2.900000e+02	3.617300e+01	2.383784e+00	2.275558e+00
2.900000e+02	3.180000e+02	1.944800e+01	1.312883e+00	1.270724e+00
3.180000e+02	3.460000e+02	1.083300e+01	7.480695e-01	7.422679e-01
3.460000e+02	3.760000e+02	6.282000e+00	4.484856e-01	4.436633e-01
3.760000e+02	4.080000e+02	3.509000e+00	2.623768e-01	2.575167e-01
4.080000e+02	4.420000e+02	2.015500e+00	1.590860e-01	1.575868e-01
4.420000e+02	4.780000e+02	1.118100e+00	9.190668e-02	9.109612e-02
4.780000e+02	5.160000e+02	6.029000e-01	5.299684e-02	5.155304e-02
5.160000e+02	5.560000e+02	3.238500e-01	3.105959e-02	2.945828e-02
5.560000e+02	5.980000e+02	1.749000e-01	1.831314e-02	1.703755e-02
5.980000e+02	6.420000e+02	8.901000e-02	9.956111e-03	9.289595e-03
6.420000e+02	6.880000e+02	4.375000e-02	5.159263e-03	4.915402e-03
6.880000e+02	7.360000e+02	2.186000e-02	2.757540e-03	2.641765e-03
7.360000e+02	7.860000e+02	1.026600e-02	1.414167e-03	1.338677e-03
7.860000e+02	8.380000e+02	4.910000e-03	7.523692e-04	7.130007e-04
8.380000e+02	8.940000e+02	1.989000e-03	3.478096e-04	3.353574e-04
8.940000e+02	9.520000e+02	7.850000e-04	1.567601e-04	1.537843e-04
9.520000e+02	1.012000e+03	3.260000e-04	7.490838e-05	7.479776e-05
1.012000e+03	1.076000e+03	1.245000e-04	3.357114e-05	3.411815e-05
1.076000e+03	1.162000e+03	4.400000e-05	1.627074e-05	1.797602e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2018_I1634970/d05-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2018_I1634970/d05-x01-y01
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	1.160000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+02	1.340000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.340000e+02	1.520000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.520000e+02	1.720000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.720000e+02	1.940000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.940000e+02	2.160000e+02	0.000000e+00	0.000000e+00	0.000000e+00
