# BEGIN PLOT
LegendOnly=/ATLAS_2018_I1634970/d07-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2018_I1634970/d07-x01-y01
DrawOnly=/ATLAS_2018_I1634970/d07-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2018_I1634970/d07-x01-y01
Title=Dijet cross section ($y^\ast < 0.5$), R=0.4
RatioPlotReference=/ATLAS_2018_I1634970/d07-x01-y01
RatioPlot=1
LogX=1
LogY=1
XLabel=$m_{12} [GeV]$
YLabel=$d^2\sigma/dm_{jj}dy^\ast$ [pb/GeV]
YMin=0.000001
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2018_I1634970/d07-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2018_I1634970/d07-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.600000e+02	3.100000e+02	2.259080e+03	1.370578e+02	1.306423e+02
3.100000e+02	3.700000e+02	9.546700e+02	5.345914e+01	5.338443e+01
3.700000e+02	4.400000e+02	3.960370e+02	2.028692e+01	2.157713e+01
4.400000e+02	5.100000e+02	1.693000e+02	8.629853e+00	8.930057e+00
5.100000e+02	5.900000e+02	7.667000e+01	3.829048e+00	3.869648e+00
5.900000e+02	6.700000e+02	3.614800e+01	1.780778e+00	1.806173e+00
6.700000e+02	7.600000e+02	1.806800e+01	8.949135e-01	9.225769e-01
7.600000e+02	8.500000e+02	9.177000e+00	4.683054e-01	4.742044e-01
8.500000e+02	9.500000e+02	4.867200e+00	2.619990e-01	2.595496e-01
9.500000e+02	1.060000e+03	2.549740e+00	1.391567e-01	1.414999e-01
1.060000e+03	1.180000e+03	1.345600e+00	7.492088e-02	7.739085e-02
1.180000e+03	1.310000e+03	7.086800e-01	4.129581e-02	4.175860e-02
1.310000e+03	1.450000e+03	3.761000e-01	2.264765e-02	2.274670e-02
1.450000e+03	1.600000e+03	2.018200e-01	1.250752e-02	1.270367e-02
1.600000e+03	1.760000e+03	1.072900e-01	6.887819e-03	7.062703e-03
1.760000e+03	1.940000e+03	5.649000e-02	3.858026e-03	3.878772e-03
1.940000e+03	2.120000e+03	3.070500e-02	2.264332e-03	2.214949e-03
2.120000e+03	2.330000e+03	1.652700e-02	1.293464e-03	1.259360e-03
2.330000e+03	2.550000e+03	8.404000e-03	6.967397e-04	6.837381e-04
2.550000e+03	2.780000e+03	4.523000e-03	4.018164e-04	3.939336e-04
2.780000e+03	3.040000e+03	2.290000e-03	2.260791e-04	2.204733e-04
3.040000e+03	3.310000e+03	1.230000e-03	1.371770e-04	1.340399e-04
3.310000e+03	3.610000e+03	5.723000e-04	7.441731e-05	7.298205e-05
3.610000e+03	3.930000e+03	3.149000e-04	4.880493e-05	4.773511e-05
3.930000e+03	4.270000e+03	1.349000e-04	2.614522e-05	2.553049e-05
4.270000e+03	4.640000e+03	5.620000e-05	1.370805e-05	1.342345e-05
4.640000e+03	5.040000e+03	2.270000e-05	7.461351e-06	7.361714e-06
5.040000e+03	7.000000e+03	3.700000e-06	1.651218e-06	1.575397e-06
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2018_I1634970/d07-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2018_I1634970/d07-x01-y01
ScaledBy=4.00000000141335137e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
2.600000e+02	3.100000e+02	5.489224e+03	5.489224e+03	5.489224e+03
3.100000e+02	3.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+02	4.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+02	5.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e+02	5.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.900000e+02	6.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.700000e+02	7.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+02	8.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+02	9.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+02	1.060000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+03	1.180000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+03	1.310000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.310000e+03	1.450000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+03	1.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+03	1.760000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.760000e+03	1.940000e+03	0.000000e+00	0.000000e+00	0.000000e+00
