# BEGIN PLOT
LegendOnly=/ATLAS_2018_I1634970/d10-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2018_I1634970/d10-x01-y01
DrawOnly=/ATLAS_2018_I1634970/d10-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2018_I1634970/d10-x01-y01
Title=Dijet cross section ($1.5 \leq y^\ast < 2.0$), R=0.4
RatioPlotReference=/ATLAS_2018_I1634970/d10-x01-y01
RatioPlot=1
LogX=1
LogY=1
XLabel=$m_{12} [GeV]$
YLabel=$d^2\sigma/dm_{jj}dy^\ast$ [pb/GeV]
YMin=0.000001
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2018_I1634970/d10-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2018_I1634970/d10-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
7.600000e+02	8.500000e+02	1.416540e+02	1.030763e+01	1.053183e+01
8.500000e+02	9.500000e+02	7.813800e+01	5.614295e+00	5.529558e+00
9.500000e+02	1.060000e+03	4.341000e+01	2.954149e+00	2.939148e+00
1.060000e+03	1.180000e+03	2.358000e+01	1.607268e+00	1.577223e+00
1.180000e+03	1.310000e+03	1.300500e+01	9.310272e-01	8.801101e-01
1.310000e+03	1.450000e+03	7.046000e+00	4.936593e-01	4.770797e-01
1.450000e+03	1.600000e+03	3.946000e+00	2.558644e-01	2.534941e-01
1.600000e+03	1.760000e+03	2.165000e+00	1.364933e-01	1.333066e-01
1.760000e+03	1.940000e+03	1.136900e+00	7.521511e-02	7.129170e-02
1.940000e+03	2.120000e+03	6.342000e-01	4.519410e-02	4.153989e-02
2.120000e+03	2.330000e+03	3.294000e-01	2.495166e-02	2.281970e-02
2.330000e+03	2.550000e+03	1.830000e-01	1.465652e-02	1.342089e-02
2.550000e+03	2.780000e+03	9.112000e-02	7.601396e-03	7.253998e-03
2.780000e+03	3.040000e+03	4.511000e-02	3.900959e-03	3.944296e-03
3.040000e+03	3.310000e+03	2.352000e-02	2.113841e-03	2.160037e-03
3.310000e+03	3.610000e+03	1.151500e-02	1.083747e-03	1.072899e-03
3.610000e+03	3.930000e+03	5.768000e-03	6.069713e-04	5.670674e-04
3.930000e+03	4.270000e+03	2.750000e-03	3.337063e-04	3.024281e-04
4.270000e+03	4.640000e+03	1.166000e-03	1.572768e-04	1.479751e-04
4.640000e+03	5.040000e+03	5.251000e-04	7.669554e-05	7.517133e-05
5.040000e+03	5.470000e+03	1.991000e-04	3.392302e-05	3.390200e-05
5.470000e+03	5.940000e+03	7.500000e-05	1.642698e-05	1.608381e-05
5.940000e+03	6.440000e+03	2.960000e-05	8.512986e-06	7.989627e-06
6.440000e+03	7.630000e+03	6.000000e-06	2.615118e-06	2.371639e-06
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2018_I1634970/d10-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2018_I1634970/d10-x01-y01
ScaledBy=4.00000000141335137e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
7.600000e+02	8.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+02	9.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+02	1.060000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+03	1.180000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+03	1.310000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.310000e+03	1.450000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+03	1.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+03	1.760000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.760000e+03	1.940000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.940000e+03	2.120000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.120000e+03	2.330000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.330000e+03	2.550000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.550000e+03	2.780000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.780000e+03	3.040000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.040000e+03	3.310000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.310000e+03	3.610000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.610000e+03	3.930000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.930000e+03	4.270000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.270000e+03	4.640000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.640000e+03	5.040000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.040000e+03	5.470000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.470000e+03	5.940000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.940000e+03	6.440000e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.440000e+03	7.630000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

