# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d09-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d09-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{jet}}$ [GeV]
RatioPlotReference=/ATLAS_2019_I1740909/d09-x01-y01
YLabel=$<N_{\textrm{ch}}>$
DrawOnly=/ATLAS_2019_I1740909/d09-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d09-x01-y01
RatioPlot=1
Title=Inclusive jets
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	2.000000e+02	1.062900e+01	4.015187e-01	3.979938e-01
2.000000e+02	3.000000e+02	1.340900e+01	3.622140e-01	3.606426e-01
3.000000e+02	4.000000e+02	1.502570e+01	3.065040e-01	3.063210e-01
4.000000e+02	5.000000e+02	1.622030e+01	2.940652e-01	2.941623e-01
5.000000e+02	6.000000e+02	1.711590e+01	3.091475e-01	3.091966e-01
6.000000e+02	7.000000e+02	1.784630e+01	3.374789e-01	3.374557e-01
7.000000e+02	8.000000e+02	1.848830e+01	3.596108e-01	3.595057e-01
8.000000e+02	9.000000e+02	1.901220e+01	3.560913e-01	3.558648e-01
9.000000e+02	1.000000e+03	1.949590e+01	3.332288e-01	3.328286e-01
1.000000e+03	1.200000e+03	2.003560e+01	3.126579e-01	3.121260e-01
1.200000e+03	1.400000e+03	2.064740e+01	3.000449e-01	2.994986e-01
1.400000e+03	1.600000e+03	2.130240e+01	2.931536e-01	2.925565e-01
1.600000e+03	2.000000e+03	2.182110e+01	2.992830e-01	2.984379e-01
2.000000e+03	2.500000e+03	2.273210e+01	3.598357e-01	3.587254e-01
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d09-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d09-x01-y01
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	2.000000e+02	1.300000e+01	2.187629e+00	2.187629e+00
2.000000e+02	3.000000e+02	nan	nan	nan
3.000000e+02	4.000000e+02	nan	nan	nan
4.000000e+02	5.000000e+02	nan	nan	nan
5.000000e+02	6.000000e+02	nan	nan	nan
6.000000e+02	7.000000e+02	nan	nan	nan
7.000000e+02	8.000000e+02	nan	nan	nan
8.000000e+02	9.000000e+02	nan	nan	nan
9.000000e+02	1.000000e+03	nan	nan	nan
1.000000e+03	1.200000e+03	nan	nan	nan
1.200000e+03	1.400000e+03	nan	nan	nan
1.400000e+03	1.600000e+03	nan	nan	nan
1.600000e+03	2.000000e+03	nan	nan	nan
2.000000e+03	2.500000e+03	nan	nan	nan
# END HISTO1D

