# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d125-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d125-x01-y01
XLabel=$N_{\textrm{ch}}$ 
RatioPlotReference=/ATLAS_2019_I1740909/d125-x01-y01
Title=Central jets, $100 < p_{\textrm{T}}^{\textrm{jet}} < 200$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d125-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d125-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d125-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d125-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	3.237130e-02	2.982729e-03	2.975265e-03
3.500000e+00	7.500000e+00	2.155860e-01	1.627317e-02	1.634967e-02
7.500000e+00	1.150000e+01	3.470740e-01	1.400993e-02	1.405403e-02
1.150000e+01	1.550000e+01	2.550950e-01	1.769073e-02	1.771835e-02
1.550000e+01	1.950000e+01	1.013200e-01	1.615453e-02	1.619165e-02
1.950000e+01	2.350000e+01	2.639150e-02	6.423697e-03	6.439795e-03
2.350000e+01	2.750000e+01	5.324750e-03	1.457241e-03	1.468146e-03
2.750000e+01	3.150000e+01	0.000000e+00	2.261707e-04	2.334692e-04
3.150000e+01	3.550000e+01	0.000000e+00	1.965971e-04	2.073770e-04
3.550000e+01	3.950000e+01	0.000000e+00	2.025499e-04	2.144680e-04
3.950000e+01	4.350000e+01	0.000000e+00	1.784347e-04	1.831013e-04
4.350000e+01	4.750000e+01	0.000000e+00	1.583423e-04	1.580258e-04
4.750000e+01	5.150000e+01	0.000000e+00	9.892655e-05	1.016480e-04
5.150000e+01	5.550000e+01	0.000000e+00	9.034565e-05	9.123371e-05
5.550000e+01	5.950000e+01	0.000000e+00	8.131204e-05	8.182167e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d125-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d125-x01-y01
ScaledBy=3.64350225095569069e-11
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	7.500000e+00	2.500000e-01	2.500000e-01	2.500000e-01
7.500000e+00	1.150000e+01	5.000000e-01	3.535534e-01	3.535534e-01
1.150000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.950000e+01	2.500000e-01	2.500000e-01	2.500000e-01
1.950000e+01	2.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.350000e+01	2.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.750000e+01	3.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.150000e+01	3.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.550000e+01	3.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.950000e+01	4.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.350000e+01	4.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.750000e+01	5.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.150000e+01	5.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.550000e+01	5.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

