# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d144-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d144-x01-y01
XLabel=$r$ 
RatioPlotReference=/ATLAS_2019_I1740909/d144-x01-y01
Title=Central jets, $600 < p_{\textrm{T}}^{\textrm{jet}} < 700$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d144-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d144-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d144-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d144-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	4.434780e+01	1.372049e+00	1.419353e+00
2.000000e-02	4.000000e-02	1.311230e+01	2.257625e-01	2.534198e-01
4.000000e-02	6.000000e-02	6.051230e+00	7.118587e-02	8.927052e-02
6.000000e-02	8.000000e-02	3.470720e+00	4.885054e-02	5.783149e-02
8.000000e-02	1.000000e-01	2.242720e+00	2.989095e-02	3.553618e-02
1.000000e-01	1.200000e-01	1.563700e+00	1.380276e-02	1.929493e-02
1.200000e-01	1.400000e-01	1.147110e+00	1.046257e-02	1.476065e-02
1.400000e-01	1.600000e-01	8.731930e-01	8.217296e-03	1.124030e-02
1.600000e-01	1.800000e-01	6.841660e-01	6.299685e-03	8.702847e-03
1.800000e-01	2.000000e-01	5.512610e-01	5.080770e-03	6.911092e-03
2.000000e-01	2.200000e-01	4.509240e-01	4.396578e-03	5.900789e-03
2.200000e-01	2.400000e-01	3.735910e-01	3.805647e-03	5.197932e-03
2.400000e-01	2.600000e-01	3.129410e-01	3.201978e-03	4.322147e-03
2.600000e-01	2.800000e-01	2.667610e-01	2.562105e-03	3.550567e-03
2.800000e-01	3.000000e-01	2.289570e-01	2.045784e-03	3.062259e-03
3.000000e-01	3.200000e-01	1.984350e-01	1.754372e-03	2.632416e-03
3.200000e-01	3.400000e-01	1.733130e-01	1.589335e-03	2.281413e-03
3.400000e-01	3.600000e-01	1.545170e-01	2.119249e-03	2.532012e-03
3.600000e-01	3.800000e-01	1.407780e-01	3.760439e-03	3.947264e-03
3.800000e-01	4.000000e-01	1.215640e-01	3.774975e-03	3.908396e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d144-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d144-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	3.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

