# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d162-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d162-x01-y01
XLabel=$\zeta$ 
RatioPlotReference=/ATLAS_2019_I1740909/d162-x01-y01
Title=Central jets, $1000 < p_{\textrm{T}}^{\textrm{jet}} < 1200$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d162-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d162-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogX=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d162-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d162-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.007290e-04	4.510930e-04	1.636250e-02	5.603222e-04	5.979803e-04
4.510930e-04	6.766390e-04	6.400370e-01	1.906300e-02	2.017962e-02
6.766390e-04	1.014960e-03	9.479060e-01	1.850758e-02	2.075928e-02
1.014960e-03	1.522440e-03	1.218990e+00	1.477616e-02	1.950781e-02
1.522440e-03	2.283660e-03	1.496930e+00	2.676170e-02	3.140625e-02
2.283660e-03	3.425490e-03	1.726750e+00	2.653327e-02	3.267967e-02
3.425490e-03	5.138230e-03	1.898240e+00	2.431098e-02	3.133647e-02
5.138230e-03	7.707350e-03	1.988660e+00	2.833053e-02	3.501806e-02
7.707350e-03	1.156100e-02	1.987790e+00	3.176639e-02	3.714338e-02
1.156100e-02	1.734150e-02	1.891090e+00	3.038207e-02	3.576830e-02
1.734150e-02	2.601230e-02	1.712060e+00	2.124951e-02	2.670999e-02
2.601230e-02	3.901840e-02	1.477780e+00	1.752991e-02	2.225286e-02
3.901840e-02	5.852770e-02	1.207230e+00	1.305985e-02	1.604486e-02
5.852770e-02	8.779150e-02	9.262400e-01	9.405494e-03	1.212245e-02
8.779145e-02	1.316869e-01	6.715610e-01	7.806033e-03	9.654852e-03
1.316870e-01	1.975310e-01	4.409790e-01	6.702119e-03	8.099142e-03
1.975310e-01	2.962960e-01	2.566230e-01	4.758711e-03	5.927483e-03
2.962960e-01	4.444440e-01	1.260110e-01	2.779441e-03	3.564456e-03
4.444440e-01	6.666670e-01	4.691590e-02	1.323066e-03	1.637822e-03
6.666670e-01	1.000000e+00	7.804310e-03	3.013791e-04	3.490595e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d162-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d162-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
3.007290e-04	4.510930e-04	0.000000e+00	0.000000e+00	0.000000e+00
4.510930e-04	6.766390e-04	0.000000e+00	0.000000e+00	0.000000e+00
6.766390e-04	1.014960e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.014960e-03	1.522440e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.522440e-03	2.283660e-03	0.000000e+00	0.000000e+00	0.000000e+00
2.283660e-03	3.425490e-03	0.000000e+00	0.000000e+00	0.000000e+00
3.425490e-03	5.138230e-03	0.000000e+00	0.000000e+00	0.000000e+00
5.138230e-03	7.707350e-03	0.000000e+00	0.000000e+00	0.000000e+00
7.707350e-03	1.156100e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.156100e-02	1.734150e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.734150e-02	2.601230e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.601230e-02	3.901840e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.901840e-02	5.852770e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.852770e-02	8.779150e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.779145e-02	1.316869e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.316870e-01	1.975310e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.975310e-01	2.962960e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.962960e-01	4.444440e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.444440e-01	6.666670e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

