# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d31-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d31-x01-y01
XLabel=$r$ 
RatioPlotReference=/ATLAS_2019_I1740909/d31-x01-y01
Title=Inclusive jets, $500 < p_{\textrm{T}}^{\textrm{jet}} < 600$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d31-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d31-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d31-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d31-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	8.106470e+01	2.703742e+00	2.782466e+00
2.000000e-02	4.000000e-02	2.442110e+01	4.470391e-01	4.873733e-01
4.000000e-02	6.000000e-02	1.127560e+01	1.318227e-01	1.641146e-01
6.000000e-02	8.000000e-02	6.455640e+00	8.498909e-02	1.025263e-01
8.000000e-02	1.000000e-01	4.181800e+00	5.327382e-02	6.474288e-02
1.000000e-01	1.200000e-01	2.914570e+00	2.187179e-02	3.361440e-02
1.200000e-01	1.400000e-01	2.141450e+00	1.352158e-02	2.308877e-02
1.400000e-01	1.600000e-01	1.632960e+00	9.634086e-03	1.723850e-02
1.600000e-01	1.800000e-01	1.284570e+00	7.738020e-03	1.350084e-02
1.800000e-01	2.000000e-01	1.032640e+00	7.132777e-03	1.151024e-02
2.000000e-01	2.200000e-01	8.478550e-01	6.689629e-03	1.011630e-02
2.200000e-01	2.400000e-01	7.043000e-01	5.870744e-03	8.476433e-03
2.400000e-01	2.600000e-01	5.940490e-01	5.211614e-03	7.347184e-03
2.600000e-01	2.800000e-01	5.048810e-01	4.182825e-03	6.032156e-03
2.800000e-01	3.000000e-01	4.345720e-01	3.109859e-03	4.912766e-03
3.000000e-01	3.200000e-01	3.778480e-01	2.196628e-03	3.935728e-03
3.200000e-01	3.400000e-01	3.304370e-01	1.753126e-03	3.477454e-03
3.400000e-01	3.600000e-01	2.941980e-01	3.021728e-03	4.093051e-03
3.600000e-01	3.800000e-01	2.685580e-01	6.303124e-03	6.772268e-03
3.800000e-01	4.000000e-01	2.249370e-01	6.617543e-03	6.927231e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d31-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d31-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	3.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

