# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d48-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d48-x01-y01
XLabel=$\zeta$ 
RatioPlotReference=/ATLAS_2019_I1740909/d48-x01-y01
Title=Inclusive jets, $800 < p_{\textrm{T}}^{\textrm{jet}} < 900$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d48-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d48-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogX=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d48-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d48-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.510930e-04	6.766390e-04	4.182310e-01	1.414396e-02	1.464655e-02
6.766390e-04	1.014960e-03	1.592950e+00	4.687082e-02	4.920748e-02
1.014960e-03	1.522440e-03	2.105300e+00	3.414804e-02	3.973175e-02
1.522440e-03	2.283660e-03	2.631340e+00	2.387595e-02	3.542035e-02
2.283660e-03	3.425490e-03	3.110680e+00	4.008775e-02	5.031645e-02
3.425490e-03	5.138230e-03	3.493210e+00	3.379178e-02	4.711616e-02
5.138230e-03	7.707350e-03	3.736230e+00	4.398353e-02	5.679862e-02
7.707350e-03	1.156100e-02	3.797690e+00	6.016403e-02	6.991125e-02
1.156100e-02	1.734150e-02	3.664620e+00	5.615990e-02	6.482901e-02
1.734150e-02	2.601230e-02	3.368150e+00	4.028027e-02	4.875502e-02
2.601230e-02	3.901840e-02	2.936290e+00	2.536376e-02	3.478064e-02
3.901840e-02	5.852770e-02	2.424550e+00	2.169547e-02	2.976266e-02
5.852770e-02	8.779150e-02	1.891080e+00	1.643506e-02	2.334307e-02
8.779145e-02	1.316869e-01	1.374220e+00	1.253045e-02	1.766600e-02
1.316870e-01	1.975310e-01	9.106740e-01	1.127239e-02	1.511416e-02
1.975310e-01	2.962960e-01	5.356600e-01	8.707219e-03	1.143435e-02
2.962960e-01	4.444440e-01	2.620830e-01	5.603224e-03	6.992847e-03
4.444440e-01	6.666670e-01	9.860300e-02	2.876507e-03	3.400925e-03
6.666670e-01	1.000000e+00	1.668520e-02	6.759978e-04	7.522483e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d48-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d48-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
4.510930e-04	6.766390e-04	0.000000e+00	0.000000e+00	0.000000e+00
6.766390e-04	1.014960e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.014960e-03	1.522440e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.522440e-03	2.283660e-03	0.000000e+00	0.000000e+00	0.000000e+00
2.283660e-03	3.425490e-03	0.000000e+00	0.000000e+00	0.000000e+00
3.425490e-03	5.138230e-03	0.000000e+00	0.000000e+00	0.000000e+00
5.138230e-03	7.707350e-03	0.000000e+00	0.000000e+00	0.000000e+00
7.707350e-03	1.156100e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.156100e-02	1.734150e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.734150e-02	2.601230e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.601230e-02	3.901840e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.901840e-02	5.852770e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.852770e-02	8.779150e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.779145e-02	1.316869e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.316870e-01	1.975310e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.975310e-01	2.962960e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.962960e-01	4.444440e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.444440e-01	6.666670e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

