# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d53-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d53-x01-y01
XLabel=$\zeta$ 
RatioPlotReference=/ATLAS_2019_I1740909/d53-x01-y01
Title=Inclusive jets, $1600 < p_{\textrm{T}}^{\textrm{jet}} < 2000$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d53-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d53-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d53-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d53-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.004860e-04	3.007290e-04	1.358450e-01	8.775714e-03	8.878089e-03
3.007290e-04	4.510930e-04	1.329700e+00	6.467430e-02	6.615783e-02
4.510930e-04	6.766390e-04	1.832770e+00	7.014604e-02	7.302022e-02
6.766390e-04	1.014960e-03	2.357990e+00	4.327562e-02	5.051353e-02
1.014960e-03	1.522440e-03	2.852270e+00	5.376061e-02	6.384460e-02
1.522440e-03	2.283660e-03	3.342890e+00	5.723739e-02	6.966171e-02
2.283660e-03	3.425490e-03	3.693680e+00	6.052755e-02	7.451839e-02
3.425490e-03	5.138230e-03	3.986870e+00	9.172469e-02	1.019170e-01
5.138230e-03	7.707350e-03	3.979880e+00	8.496969e-02	9.618780e-02
7.707350e-03	1.156100e-02	3.882470e+00	8.746074e-02	9.741611e-02
1.156100e-02	1.734150e-02	3.602040e+00	7.273214e-02	8.200120e-02
1.734150e-02	2.601230e-02	3.188750e+00	6.013504e-02	6.827142e-02
2.601230e-02	3.901840e-02	2.737240e+00	5.132563e-02	5.798159e-02
3.901840e-02	5.852770e-02	2.236310e+00	4.103870e-02	4.619152e-02
5.852770e-02	8.779150e-02	1.759560e+00	3.408073e-02	3.812813e-02
8.779145e-02	1.316869e-01	1.303490e+00	2.933643e-02	3.187084e-02
1.316870e-01	1.975310e-01	8.845490e-01	2.271634e-02	2.453475e-02
1.975310e-01	2.962960e-01	5.432460e-01	1.433388e-02	1.562144e-02
2.962960e-01	4.444440e-01	2.881790e-01	7.887625e-03	8.557487e-03
4.444440e-01	6.666670e-01	1.127720e-01	4.805774e-03	4.985762e-03
6.666670e-01	1.000000e+00	1.907350e-02	1.379935e-03	1.398877e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d53-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d53-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
2.004860e-04	3.007290e-04	0.000000e+00	0.000000e+00	0.000000e+00
3.007290e-04	4.510930e-04	0.000000e+00	0.000000e+00	0.000000e+00
4.510930e-04	6.766390e-04	0.000000e+00	0.000000e+00	0.000000e+00
6.766390e-04	1.014960e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.014960e-03	1.522440e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.522440e-03	2.283660e-03	0.000000e+00	0.000000e+00	0.000000e+00
2.283660e-03	3.425490e-03	0.000000e+00	0.000000e+00	0.000000e+00
3.425490e-03	5.138230e-03	0.000000e+00	0.000000e+00	0.000000e+00
5.138230e-03	7.707350e-03	0.000000e+00	0.000000e+00	0.000000e+00
7.707350e-03	1.156100e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.156100e-02	1.734150e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.734150e-02	2.601230e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.601230e-02	3.901840e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.901840e-02	5.852770e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.852770e-02	8.779150e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.779145e-02	1.316869e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.316870e-01	1.975310e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.975310e-01	2.962960e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.962960e-01	4.444440e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.444440e-01	6.666670e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

