# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d59-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d59-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{rel}}$ (positive values only)
RatioPlotReference=/ATLAS_2019_I1740909/d59-x01-y01
Title=Inclusive jets, $500 < p_{\textrm{T}}^{\textrm{jet}} < 600$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d59-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d59-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d59-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d59-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	5.289470e+00	8.764096e-02	1.001085e-01
1.500000e-01	3.000000e-01	3.721660e+00	3.913763e-02	5.260547e-02
3.000000e-01	4.500000e-01	2.262760e+00	2.564605e-02	3.294218e-02
4.500000e-01	6.000000e-01	1.442370e+00	1.992732e-02	2.382610e-02
6.000000e-01	7.500000e-01	9.726150e-01	1.570296e-02	1.790563e-02
7.500000e-01	9.000000e-01	6.895200e-01	1.135614e-02	1.270092e-02
9.000000e-01	1.050000e+00	5.088450e-01	7.117159e-03	8.286394e-03
1.050000e+00	1.200000e+00	3.880050e-01	4.745626e-03	5.869483e-03
1.200000e+00	1.350000e+00	3.043850e-01	4.160102e-03	4.968424e-03
1.350000e+00	1.500000e+00	2.432220e-01	3.943001e-03	4.403632e-03
1.500000e+00	1.650000e+00	1.974470e-01	3.547260e-03	3.923309e-03
1.650000e+00	1.800000e+00	1.638350e-01	3.030524e-03	3.363648e-03
1.800000e+00	1.950000e+00	1.372210e-01	2.537866e-03	2.785569e-03
1.950000e+00	2.100000e+00	1.162280e-01	2.186031e-03	2.411993e-03
2.100000e+00	2.250000e+00	9.820640e-02	1.892142e-03	2.073677e-03
2.250000e+00	2.400000e+00	8.469850e-02	1.687499e-03	1.812569e-03
2.400000e+00	2.550000e+00	7.389740e-02	1.482909e-03	1.606851e-03
2.550000e+00	2.700000e+00	6.365320e-02	1.227024e-03	1.364041e-03
2.700000e+00	2.850000e+00	5.562150e-02	1.129200e-03	1.246988e-03
2.850000e+00	3.000000e+00	4.843730e-02	1.277764e-03	1.356624e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d59-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d59-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	1.650000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+00	1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+00	1.950000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.550000e+00	2.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+00	2.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.850000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

