# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d80-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d80-x01-y01
XLabel=$N_{\textrm{ch}}$ 
RatioPlotReference=/ATLAS_2019_I1740909/d80-x01-y01
Title=Forward jets, $1400 < p_{\textrm{T}}^{\textrm{jet}} < 1600$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d80-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d80-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d80-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d80-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	2.969150e-03	6.564956e-04	6.557144e-04
3.500000e+00	7.500000e+00	3.775460e-02	4.705490e-03	4.703471e-03
7.500000e+00	1.150000e+01	1.336030e-01	6.215296e-03	6.243808e-03
1.150000e+01	1.550000e+01	1.826190e-01	4.587433e-03	4.621828e-03
1.550000e+01	1.950000e+01	1.678850e-01	3.586848e-03	3.605656e-03
1.950000e+01	2.350000e+01	1.361990e-01	2.625612e-03	2.640397e-03
2.350000e+01	2.750000e+01	1.042800e-01	2.378023e-03	2.367478e-03
2.750000e+01	3.150000e+01	7.844930e-02	2.536792e-03	2.535726e-03
3.150000e+01	3.550000e+01	5.710940e-02	2.776637e-03	2.776746e-03
3.550000e+01	3.950000e+01	3.833800e-02	2.626955e-03	2.624273e-03
3.950000e+01	4.350000e+01	2.368740e-02	2.035111e-03	2.010123e-03
4.350000e+01	4.750000e+01	1.469050e-02	1.288696e-03	1.272287e-03
4.750000e+01	5.150000e+01	8.769170e-03	8.507478e-04	8.447218e-04
5.150000e+01	5.550000e+01	5.120940e-03	7.255591e-04	7.169107e-04
5.550000e+01	5.950000e+01	2.890300e-03	6.193519e-04	6.101947e-04
5.950000e+01	6.350000e+01	4.432760e-03	1.098092e-03	1.091267e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d80-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d80-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+01	2.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.350000e+01	2.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.750000e+01	3.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.150000e+01	3.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.550000e+01	3.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.950000e+01	4.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.350000e+01	4.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.750000e+01	5.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.150000e+01	5.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.550000e+01	5.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.950000e+01	6.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

