# BEGIN PLOT
RatioPlotReference=/ATLAS_2020_I1790256/d11-x01-y01
LegendOnly=/ATLAS_2020_I1790256/d11-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d11-x01-y01
XLabel=$\ln (1/z)$
YMax=2.0
YLabel=$\frac{1}{N_{jets}}\frac{d^{2} N_{emissions}}{d\ln (R/\Delta R) d\ln (1/z)}$
DrawOnly=/ATLAS_2020_I1790256/d11-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d11-x01-y01
RatioPlot=1
Title=Vertical slice, $2.67 < \ln (R/\Delta R) < 3.00$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1790256/d11-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1790256/d11-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
6.931470e-01	9.704060e-01	6.037190e-01	7.037097e-02	7.064528e-02
9.704060e-01	1.247660e+00	5.372530e-01	5.398635e-02	5.422510e-02
1.247660e+00	1.524920e+00	5.149610e-01	4.887231e-02	4.920351e-02
1.524920e+00	1.802180e+00	5.172360e-01	5.396095e-02	5.419212e-02
1.802180e+00	2.079440e+00	5.274810e-01	5.301760e-02	5.338425e-02
2.079440e+00	2.356700e+00	5.359410e-01	5.910120e-02	5.933909e-02
2.356700e+00	2.633960e+00	5.339480e-01	6.245353e-02	6.261394e-02
2.633960e+00	2.911220e+00	5.180610e-01	6.232634e-02	6.242649e-02
2.911220e+00	3.188480e+00	4.779520e-01	6.195362e-02	6.210692e-02
3.188480e+00	3.465740e+00	4.177400e-01	5.052042e-02	5.055169e-02
3.465740e+00	3.742990e+00	3.414520e-01	4.395907e-02	4.396342e-02
3.742990e+00	4.020250e+00	2.617210e-01	3.117564e-02	3.118965e-02
4.020250e+00	4.297510e+00	1.872730e-01	2.012431e-02	2.010819e-02
4.297510e+00	4.574770e+00	1.267430e-01	1.309271e-02	1.312049e-02
4.574770e+00	4.852030e+00	8.183310e-02	7.203772e-03	7.250562e-03
4.852030e+00	5.129290e+00	5.116380e-02	5.521573e-03	5.547330e-03
5.129290e+00	5.406550e+00	3.146820e-02	3.487882e-03	3.501059e-03
5.406550e+00	5.683810e+00	1.913520e-02	2.821047e-03	2.823184e-03
5.683810e+00	5.961070e+00	1.158500e-02	1.909446e-03	1.909274e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d11-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d11-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
6.931470e-01	9.704060e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.704060e-01	1.247660e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.247660e+00	1.524920e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.524920e+00	1.802180e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.802180e+00	2.079440e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.079440e+00	2.356700e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.356700e+00	2.633960e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.633960e+00	2.911220e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.911220e+00	3.188480e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.188480e+00	3.465740e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.465740e+00	3.742990e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.742990e+00	4.020250e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.020250e+00	4.297510e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.297510e+00	4.574770e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.574770e+00	4.852030e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.852030e+00	5.129290e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.129290e+00	5.406550e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.406550e+00	5.683810e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.683810e+00	5.961070e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

