# BEGIN PLOT
RatioPlotReference=/ATLAS_2020_I1790256/d17-x01-y01
LegendOnly=/ATLAS_2020_I1790256/d17-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d17-x01-y01
XLabel=$\ln (R/\Delta R)$
YMax=2.0
YLabel=$\frac{1}{N_{jets}}\frac{d^{2} N_{emissions}}{d\ln (R/\Delta R) \ln (1/z)}$
DrawOnly=/ATLAS_2020_I1790256/d17-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d17-x01-y01
RatioPlot=1
Title=Horizontal slice, $0.97 < \ln (1/z) < 1.25$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1790256/d17-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1790256/d17-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333330e-01	2.702970e-01	4.140396e-02	4.139539e-02
3.333330e-01	6.666670e-01	2.478760e-01	3.238535e-02	3.247965e-02
6.666670e-01	1.000000e+00	2.320440e-01	2.592113e-02	2.602589e-02
1.000000e+00	1.333330e+00	2.341110e-01	2.258913e-02	2.258063e-02
1.333330e+00	1.666670e+00	2.524760e-01	3.036689e-02	3.039579e-02
1.666670e+00	2.000000e+00	2.886510e-01	4.324178e-02	4.332819e-02
2.000000e+00	2.333330e+00	3.461510e-01	4.464501e-02	4.468456e-02
2.333330e+00	2.666670e+00	4.280700e-01	4.746267e-02	4.767245e-02
2.666670e+00	3.000000e+00	5.372530e-01	5.398635e-02	5.422510e-02
3.000000e+00	3.333330e+00	6.518990e-01	6.867029e-02	6.889144e-02
3.333330e+00	3.666670e+00	7.458710e-01	1.066079e-01	1.070572e-01
3.666670e+00	4.000000e+00	7.914160e-01	1.313941e-01	1.316442e-01
4.000000e+00	4.333330e+00	7.560290e-01	1.050091e-01	1.052871e-01
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d17-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d17-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333330e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e-01	6.666670e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

