# BEGIN PLOT
RatioPlotReference=/ATLAS_2020_I1790256/d32-x01-y01
LegendOnly=/ATLAS_2020_I1790256/d32-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d32-x01-y01
XLabel=$\ln (R/\Delta R)$
YMax=2.0
YLabel=$\frac{1}{N_{jets}}\frac{d^{2} N_{emissions}}{d\ln (R/\Delta R) d\ln (1/z)}$
DrawOnly=/ATLAS_2020_I1790256/d32-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d32-x01-y01
RatioPlot=1
Title=Horizontal slice, $5.13 < \ln (1/z) < 5.41$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1790256/d32-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1790256/d32-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333330e-01	6.497210e-01	4.312642e-02	4.273158e-02
3.333330e-01	6.666670e-01	5.520930e-01	3.023496e-02	3.058813e-02
6.666670e-01	1.000000e+00	4.694600e-01	2.262398e-02	2.277670e-02
1.000000e+00	1.333330e+00	4.027070e-01	1.815083e-02	1.873584e-02
1.333330e+00	1.666670e+00	3.015420e-01	1.512526e-02	1.526468e-02
1.666670e+00	2.000000e+00	2.010480e-01	1.275118e-02	1.274287e-02
2.000000e+00	2.333330e+00	1.174240e-01	1.183259e-02	1.190709e-02
2.333330e+00	2.666670e+00	6.296500e-02	7.026398e-03	7.044324e-03
2.666670e+00	3.000000e+00	3.146820e-02	3.487882e-03	3.501059e-03
3.000000e+00	3.333330e+00	1.508850e-02	1.332947e-03	1.343304e-03
3.333330e+00	3.666670e+00	7.313780e-03	6.751667e-04	6.779909e-04
3.666670e+00	4.000000e+00	3.478250e-03	4.505042e-04	4.512869e-04
4.000000e+00	4.333330e+00	1.673920e-03	3.079426e-04	3.075333e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d32-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d32-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333330e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e-01	6.666670e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

