# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d08-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d08-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d08-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d08-x01-y01
Title=Transverse Thrust for $n^{\mathrm{jet}} \geq 6$, 1.5 TeV $< H_{T2} <$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d08-x01-y01
RatioPlot=1
LogY=1
XLabel=$\tau_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/d\tau_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d08-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d08-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.838460e-03	3.334398e-04	3.399265e-04
1.000000e-02	2.000000e-02	1.133480e-02	9.038873e-04	9.278089e-04
2.000000e-02	3.000000e-02	1.925320e-02	1.317052e-03	1.364089e-03
3.000000e-02	4.000000e-02	2.534340e-02	1.595074e-03	1.661935e-03
4.000000e-02	5.000000e-02	3.028040e-02	1.863801e-03	1.945089e-03
5.000000e-02	6.000000e-02	3.309800e-02	2.006726e-03	2.096431e-03
6.000000e-02	7.000000e-02	3.542680e-02	2.111748e-03	2.208784e-03
7.000000e-02	8.000000e-02	3.624460e-02	2.181303e-03	2.279054e-03
8.000000e-02	9.000000e-02	3.677130e-02	2.202289e-03	2.301248e-03
9.000000e-02	1.000000e-01	3.504030e-02	2.079896e-03	2.174325e-03
1.000000e-01	1.100000e-01	3.408810e-02	2.044647e-03	2.134930e-03
1.100000e-01	1.200000e-01	3.105430e-02	1.870664e-03	1.951989e-03
1.200000e-01	1.300000e-01	3.032220e-02	1.858638e-03	1.936221e-03
1.300000e-01	1.400000e-01	2.762740e-02	1.712157e-03	1.781703e-03
1.400000e-01	1.500000e-01	2.523580e-02	1.544278e-03	1.608291e-03
1.500000e-01	1.600000e-01	2.209860e-02	1.382072e-03	1.436797e-03
1.600000e-01	1.700000e-01	1.987240e-02	1.228584e-03	1.278285e-03
1.700000e-01	1.800000e-01	1.645760e-02	1.093476e-03	1.131908e-03
1.800000e-01	2.000000e-01	1.366920e-02	8.935675e-04	9.275412e-04
2.000000e-01	2.200000e-01	1.051840e-02	6.953568e-04	7.212295e-04
2.200000e-01	2.400000e-01	8.283370e-03	5.446833e-04	5.651747e-04
2.400000e-01	2.600000e-01	6.018710e-03	4.638359e-04	4.766117e-04
2.600000e-01	2.900000e-01	3.691790e-03	2.646018e-04	2.730460e-04
2.900000e-01	3.300000e-01	1.481690e-03	1.318617e-04	1.306245e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d08-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d08-x01-y01
ScaledBy=0.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e-01	3.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

