# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d14-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d14-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d14-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d14-x01-y01
Title=Thrust Minor for $n^{\mathrm{jet}} = 4$, 1.0 TeV $< H_{T2} <$ 1.5 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d14-x01-y01
RatioPlot=1
LogY=1
XLabel=$T_{m}$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dT_{m}$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d14-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d14-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	4.247540e-03	1.742899e-04	1.784688e-04
2.000000e-02	4.000000e-02	2.335210e-02	7.582612e-04	7.770684e-04
4.000000e-02	6.000000e-02	5.536280e-02	1.634119e-03	1.681744e-03
6.000000e-02	8.000000e-02	1.014070e-01	2.816443e-03	2.906584e-03
8.000000e-02	1.000000e-01	1.478150e-01	3.997051e-03	4.128543e-03
1.000000e-01	1.200000e-01	1.890640e-01	5.017447e-03	5.184670e-03
1.200000e-01	1.400000e-01	2.260180e-01	5.923500e-03	6.121401e-03
1.400000e-01	1.600000e-01	2.537370e-01	6.588151e-03	6.807828e-03
1.600000e-01	1.800000e-01	2.709990e-01	6.996016e-03	7.227711e-03
1.800000e-01	2.000000e-01	2.721170e-01	6.969513e-03	7.200301e-03
2.000000e-01	2.200000e-01	2.657590e-01	6.763736e-03	6.987594e-03
2.200000e-01	2.400000e-01	2.510390e-01	6.334151e-03	6.545223e-03
2.400000e-01	2.600000e-01	2.333510e-01	5.841549e-03	6.037853e-03
2.600000e-01	2.800000e-01	2.131150e-01	5.291974e-03	5.471939e-03
2.800000e-01	3.000000e-01	1.927660e-01	4.766758e-03	4.930042e-03
3.000000e-01	3.200000e-01	1.736870e-01	4.244322e-03	4.393449e-03
3.200000e-01	3.400000e-01	1.557320e-01	3.794805e-03	3.929546e-03
3.400000e-01	3.600000e-01	1.366980e-01	3.305671e-03	3.425723e-03
3.600000e-01	3.800000e-01	1.192490e-01	2.854486e-03	2.961309e-03
3.800000e-01	4.000000e-01	1.017690e-01	2.428746e-03	2.521285e-03
4.000000e-01	4.200000e-01	8.799420e-02	2.083007e-03	2.164769e-03
4.200000e-01	4.400000e-01	7.588870e-02	1.794491e-03	1.866172e-03
4.400000e-01	4.600000e-01	6.352030e-02	1.483317e-03	1.545038e-03
4.600000e-01	4.800000e-01	5.188540e-02	1.254207e-03	1.303810e-03
4.800000e-01	5.200000e-01	3.932050e-02	9.548519e-04	9.924229e-04
5.200000e-01	5.700000e-01	2.344710e-02	5.781609e-04	6.004225e-04
5.700000e-01	6.600000e-01	7.773790e-03	1.708249e-04	1.744150e-04
# END HISTO1D
