# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d28-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d28-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d28-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d28-x01-y01
Title=Transverse Sphericity for $n^{\mathrm{jet}} \geq 6$, 1.0 TeV $< H_{T2} <$ 1.5 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d28-x01-y01
RatioPlot=1
LogY=1
XLabel=$S_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dS_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d28-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d28-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	1.534890e-04	1.713594e-05	1.708747e-05
3.000000e-02	6.000000e-02	8.263400e-04	6.075970e-05	6.446414e-05
6.000000e-02	9.000000e-02	1.711560e-03	1.161559e-04	1.243043e-04
9.000000e-02	1.200000e-01	2.402670e-03	1.588134e-04	1.703448e-04
1.200000e-01	1.600000e-01	3.408110e-03	2.135460e-04	2.294491e-04
1.600000e-01	2.000000e-01	4.558350e-03	2.777505e-04	2.992005e-04
2.000000e-01	2.400000e-01	5.463230e-03	3.306333e-04	3.560315e-04
2.400000e-01	2.800000e-01	5.851190e-03	3.532282e-04	3.799738e-04
2.800000e-01	3.200000e-01	6.223650e-03	3.758632e-04	4.037340e-04
3.200000e-01	3.600000e-01	6.358730e-03	3.833843e-04	4.113094e-04
3.600000e-01	4.000000e-01	6.268450e-03	3.774367e-04	4.043980e-04
4.000000e-01	4.400000e-01	5.928350e-03	3.589724e-04	3.837541e-04
4.400000e-01	4.800000e-01	5.349140e-03	3.247696e-04	3.465349e-04
4.800000e-01	5.200000e-01	4.818900e-03	2.943849e-04	3.133808e-04
5.200000e-01	5.600000e-01	4.396790e-03	2.661750e-04	2.831810e-04
5.600000e-01	6.000000e-01	3.814940e-03	2.336993e-04	2.478703e-04
6.000000e-01	6.400000e-01	3.324640e-03	2.040236e-04	2.159733e-04
6.400000e-01	6.800000e-01	2.804840e-03	1.814083e-04	1.906849e-04
6.800000e-01	7.200000e-01	2.420310e-03	1.558113e-04	1.635682e-04
7.200000e-01	7.600000e-01	2.021820e-03	1.292828e-04	1.355588e-04
7.600000e-01	8.000000e-01	1.602060e-03	1.049184e-04	1.095835e-04
8.000000e-01	8.400000e-01	1.248180e-03	8.595708e-05	8.927128e-05
8.400000e-01	8.800000e-01	1.000600e-03	7.328622e-05	7.567449e-05
8.800000e-01	9.200000e-01	6.394930e-04	5.266656e-05	5.396169e-05
9.200000e-01	9.600000e-01	3.688380e-04	3.257639e-05	3.323766e-05
9.600000e-01	1.000000e+00	1.630480e-04	2.350904e-05	2.367942e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d28-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d28-x01-y01
ScaledBy=0.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

