# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d29-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d29-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d29-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d29-x01-y01
Title=Transverse Sphericity for $n^{\mathrm{jet}} = 3$, 1.5 TeV $< H_{T2} <$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d29-x01-y01
RatioPlot=1
LogY=1
XLabel=$S_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dS_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d29-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d29-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	3.123900e+00	5.437908e-02	5.558853e-02
3.000000e-02	6.000000e-02	1.673680e+00	3.044761e-02	3.052559e-02
6.000000e-02	9.000000e-02	1.105270e+00	2.055966e-02	2.059779e-02
9.000000e-02	1.200000e-01	9.494790e-01	1.789080e-02	1.791275e-02
1.200000e-01	1.600000e-01	8.268930e-01	1.570974e-02	1.570343e-02
1.600000e-01	2.000000e-01	5.139140e-01	9.855065e-03	9.847459e-03
2.000000e-01	2.400000e-01	3.310030e-01	6.416760e-03	6.409726e-03
2.400000e-01	2.800000e-01	2.239880e-01	4.434258e-03	4.428298e-03
2.800000e-01	3.200000e-01	1.570920e-01	3.134520e-03	3.129592e-03
3.200000e-01	3.600000e-01	1.139130e-01	2.344659e-03	2.340747e-03
3.600000e-01	4.000000e-01	8.392810e-02	1.769109e-03	1.766057e-03
4.000000e-01	4.400000e-01	6.399940e-02	1.326821e-03	1.324344e-03
4.400000e-01	4.800000e-01	4.904510e-02	1.073538e-03	1.071723e-03
4.800000e-01	5.200000e-01	3.713330e-02	8.225410e-04	8.212208e-04
5.200000e-01	5.600000e-01	2.873860e-02	6.557094e-04	6.547879e-04
5.600000e-01	6.000000e-01	2.248840e-02	5.396092e-04	5.390098e-04
6.000000e-01	6.400000e-01	1.760840e-02	4.614917e-04	4.611496e-04
6.400000e-01	6.800000e-01	1.390430e-02	4.031080e-04	4.029454e-04
6.800000e-01	7.200000e-01	1.076230e-02	3.230755e-04	3.230296e-04
7.200000e-01	7.600000e-01	8.017890e-03	2.665910e-04	2.666209e-04
7.600000e-01	8.000000e-01	6.350260e-03	2.495897e-04	2.496569e-04
8.000000e-01	8.400000e-01	4.180930e-03	2.030755e-04	2.031398e-04
8.400000e-01	8.800000e-01	3.263310e-03	2.007849e-04	2.008441e-04
8.800000e-01	9.200000e-01	2.224690e-03	1.579398e-04	1.579873e-04
9.200000e-01	9.600000e-01	1.147640e-03	1.066721e-04	1.066961e-04
9.600000e-01	1.000000e+00	3.353460e-04	5.408615e-05	5.409148e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d29-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d29-x01-y01
ScaledBy=0.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

