# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d33-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d33-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d33-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d33-x01-y01
Title=Transverse Sphericity for $n^{\mathrm{jet}} = 3$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d33-x01-y01
RatioPlot=1
LogY=1
XLabel=$S_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dS_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d33-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d33-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	3.884980e+00	7.823853e-02	7.779630e-02
3.000000e-02	6.000000e-02	1.867350e+00	4.507894e-02	4.497359e-02
6.000000e-02	9.000000e-02	1.352850e+00	3.300362e-02	3.291563e-02
9.000000e-02	1.200000e-01	1.101630e+00	2.725071e-02	2.717008e-02
1.200000e-01	1.600000e-01	6.422310e-01	1.569186e-02	1.562016e-02
1.600000e-01	2.000000e-01	3.718090e-01	9.302104e-03	9.261128e-03
2.000000e-01	2.400000e-01	2.320230e-01	5.865665e-03	5.840560e-03
2.400000e-01	2.800000e-01	1.532210e-01	4.130207e-03	4.115107e-03
2.800000e-01	3.200000e-01	1.061300e-01	2.904138e-03	2.894370e-03
3.200000e-01	3.600000e-01	7.403190e-02	2.024246e-03	2.017964e-03
3.600000e-01	4.000000e-01	5.402770e-02	1.659967e-03	1.656340e-03
4.000000e-01	4.400000e-01	3.986700e-02	1.330192e-03	1.328099e-03
4.400000e-01	4.800000e-01	3.049620e-02	1.065402e-03	1.064184e-03
4.800000e-01	5.200000e-01	2.283540e-02	8.930545e-04	8.924690e-04
5.200000e-01	5.600000e-01	1.904190e-02	7.897386e-04	7.894686e-04
5.600000e-01	6.000000e-01	1.372020e-02	6.345328e-04	6.344838e-04
6.000000e-01	6.400000e-01	9.481060e-03	4.624976e-04	4.625464e-04
6.400000e-01	6.800000e-01	7.897830e-03	4.283287e-04	4.284229e-04
6.800000e-01	7.200000e-01	6.192380e-03	3.955676e-04	3.956653e-04
7.200000e-01	7.600000e-01	4.704560e-03	3.587408e-04	3.588225e-04
7.600000e-01	8.000000e-01	3.561930e-03	3.112970e-04	3.113615e-04
8.000000e-01	8.400000e-01	2.404570e-03	2.200264e-04	2.200733e-04
8.400000e-01	8.800000e-01	1.508340e-03	1.954316e-04	1.954540e-04
8.800000e-01	9.200000e-01	1.122520e-03	1.931398e-04	1.931528e-04
9.200000e-01	9.600000e-01	7.701690e-04	1.384782e-04	1.384867e-04
9.600000e-01	1.000000e+00	2.283980e-04	9.135824e-05	9.135684e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d33-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d33-x01-y01
ScaledBy=0.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

