# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d36-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d36-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d36-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d36-x01-y01
Title=Transverse Sphericity for $n^{\mathrm{jet}} \geq 6$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d36-x01-y01
RatioPlot=1
LogY=1
XLabel=$S_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dS_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d36-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d36-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	1.208940e-03	2.185638e-04	2.188561e-04
3.000000e-02	6.000000e-02	5.177570e-03	6.079573e-04	6.150736e-04
6.000000e-02	9.000000e-02	9.771720e-03	9.665425e-04	9.825765e-04
9.000000e-02	1.200000e-01	1.257860e-02	1.091983e-03	1.115528e-03
1.200000e-01	1.600000e-01	1.607770e-02	1.314474e-03	1.339040e-03
1.600000e-01	2.000000e-01	1.932700e-02	1.420973e-03	1.451871e-03
2.000000e-01	2.400000e-01	1.844090e-02	1.288285e-03	1.317079e-03
2.400000e-01	2.800000e-01	1.900120e-02	1.332956e-03	1.359914e-03
2.800000e-01	3.200000e-01	1.586490e-02	1.125872e-03	1.145718e-03
3.200000e-01	3.600000e-01	1.336750e-02	9.464276e-04	9.609339e-04
3.600000e-01	4.000000e-01	1.006240e-02	7.488378e-04	7.574737e-04
4.000000e-01	4.400000e-01	8.092840e-03	6.727391e-04	6.776040e-04
4.400000e-01	4.800000e-01	6.629070e-03	5.638538e-04	5.666017e-04
4.800000e-01	5.200000e-01	5.842950e-03	5.269885e-04	5.282832e-04
5.200000e-01	5.600000e-01	4.867210e-03	4.575513e-04	4.577778e-04
5.600000e-01	6.000000e-01	3.491420e-03	3.374874e-04	3.370782e-04
6.000000e-01	6.400000e-01	2.243960e-03	2.493507e-04	2.488080e-04
6.400000e-01	6.800000e-01	1.711620e-03	2.224709e-04	2.219177e-04
6.800000e-01	7.200000e-01	1.432040e-03	1.856157e-04	1.849908e-04
7.200000e-01	7.600000e-01	1.668400e-03	2.071148e-04	2.061694e-04
7.600000e-01	8.000000e-01	9.967230e-04	1.343428e-04	1.337278e-04
8.000000e-01	8.400000e-01	6.698020e-04	1.414114e-04	1.411107e-04
8.400000e-01	8.800000e-01	9.416270e-04	1.652680e-04	1.647021e-04
8.800000e-01	9.200000e-01	5.447130e-04	1.363180e-04	1.360680e-04
9.200000e-01	9.600000e-01	1.600340e-04	6.451194e-05	6.446307e-05
9.600000e-01	1.000000e+00	2.505160e-05	1.943740e-05	1.943316e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d36-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d36-x01-y01
ScaledBy=0.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

