# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d43-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d43-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d43-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d43-x01-y01
Title=Aplanarity for $n^{\mathrm{jet}} = 5$, 1.5 TeV $< H_{T2} <$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d43-x01-y01
RatioPlot=1
LogY=1
XLabel=$A$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dA$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d43-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d43-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.840580e-01	7.337967e-03	7.847499e-03
1.000000e-02	2.000000e-02	3.149100e-01	1.207341e-02	1.251019e-02
2.000000e-02	3.000000e-02	3.446200e-01	1.318365e-02	1.365880e-02
3.000000e-02	4.000000e-02	3.368100e-01	1.284475e-02	1.330667e-02
4.000000e-02	5.000000e-02	3.099170e-01	1.178027e-02	1.220272e-02
5.000000e-02	6.000000e-02	2.731450e-01	1.049395e-02	1.085872e-02
6.000000e-02	7.000000e-02	2.340910e-01	9.030749e-03	9.338522e-03
7.000000e-02	8.000000e-02	2.045290e-01	7.867933e-03	8.134020e-03
8.000000e-02	9.000000e-02	1.660020e-01	6.405529e-03	6.617612e-03
9.000000e-02	1.000000e-01	1.375240e-01	5.438440e-03	5.607113e-03
1.000000e-01	1.100000e-01	1.170960e-01	4.594176e-03	4.736203e-03
1.100000e-01	1.200000e-01	9.785270e-02	3.853211e-03	3.969159e-03
1.200000e-01	1.400000e-01	7.308210e-02	2.738789e-03	2.864408e-03
1.400000e-01	1.600000e-01	4.730510e-02	1.839400e-03	1.921737e-03
1.600000e-01	1.800000e-01	3.084540e-02	1.304451e-03	1.356774e-03
1.800000e-01	2.000000e-01	1.990650e-02	8.584197e-04	8.936590e-04
2.000000e-01	2.200000e-01	1.339710e-02	6.438822e-04	6.667346e-04
2.200000e-01	2.400000e-01	9.583600e-03	5.784729e-04	5.925633e-04
2.400000e-01	2.600000e-01	6.123890e-03	4.143508e-04	4.230483e-04
2.600000e-01	2.800000e-01	3.727130e-03	2.945678e-04	2.994917e-04
2.800000e-01	3.100000e-01	1.956970e-03	1.608926e-04	1.633213e-04
3.100000e-01	4.000000e-01	4.616640e-04	5.101478e-05	5.136923e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d43-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d43-x01-y01
ScaledBy=0.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

