# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d64-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d64-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d64-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d64-x01-y01
Title=D for $n^{\mathrm{jet}} \geq 6$, 1.0 TeV $< H_{T2} <$ 1.5 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d64-x01-y01
RatioPlot=1
LogY=1
XLabel=$D$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dD$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d64-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d64-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	4.005600e-03	2.119731e-04	2.357745e-04
3.000000e-02	6.000000e-02	8.724000e-03	5.183194e-04	5.627896e-04
6.000000e-02	9.000000e-02	1.053330e-02	6.233466e-04	6.759911e-04
9.000000e-02	1.200000e-01	1.137920e-02	6.719496e-04	7.274647e-04
1.200000e-01	1.600000e-01	1.119830e-02	6.625197e-04	7.123527e-04
1.600000e-01	2.000000e-01	1.056730e-02	6.211727e-04	6.672541e-04
2.000000e-01	2.400000e-01	1.011530e-02	5.915702e-04	6.347404e-04
2.400000e-01	2.800000e-01	9.096820e-03	5.342278e-04	5.719233e-04
2.800000e-01	3.200000e-01	8.087330e-03	4.784473e-04	5.109418e-04
3.200000e-01	3.600000e-01	6.812440e-03	4.066592e-04	4.332293e-04
3.600000e-01	4.000000e-01	5.829570e-03	3.437528e-04	3.663505e-04
4.000000e-01	4.400000e-01	5.068350e-03	3.005791e-04	3.198719e-04
4.400000e-01	4.800000e-01	4.340920e-03	2.581045e-04	2.744700e-04
4.800000e-01	5.200000e-01	3.665270e-03	2.160684e-04	2.299849e-04
5.200000e-01	5.600000e-01	2.917900e-03	1.752410e-04	1.861868e-04
5.600000e-01	6.000000e-01	2.433560e-03	1.489497e-04	1.580210e-04
6.000000e-01	6.400000e-01	1.907630e-03	1.223913e-04	1.293089e-04
6.400000e-01	6.800000e-01	1.491260e-03	9.220637e-05	9.792562e-05
6.800000e-01	7.600000e-01	9.154330e-04	5.601279e-05	5.970597e-05
7.600000e-01	8.500000e-01	4.713350e-04	3.304778e-05	3.472637e-05
8.500000e-01	1.000000e+00	1.166210e-04	1.044497e-05	1.077534e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d64-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d64-x01-y01
ScaledBy=0.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

