# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d65-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d65-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d65-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d65-x01-y01
Title=D for $n^{\mathrm{jet}} = 3$, 1.5 TeV $< H_{T2} <$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d65-x01-y01
RatioPlot=1
LogY=1
XLabel=$D$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dD$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d65-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d65-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	7.876820e+00	6.650581e-02	6.452231e-02
3.000000e-02	6.000000e-02	1.923730e+00	1.732673e-02	1.682206e-02
6.000000e-02	9.000000e-02	1.100130e+00	1.052094e-02	1.024950e-02
9.000000e-02	1.200000e-01	7.201820e-01	7.292537e-03	7.110666e-03
1.200000e-01	1.600000e-01	4.778140e-01	5.426352e-03	5.314593e-03
1.600000e-01	2.000000e-01	3.152020e-01	3.870132e-03	3.801051e-03
2.000000e-01	2.400000e-01	2.144700e-01	2.687611e-03	2.641427e-03
2.400000e-01	2.800000e-01	1.465950e-01	2.035815e-03	2.007625e-03
2.800000e-01	3.200000e-01	9.968100e-02	1.499957e-03	1.482656e-03
3.200000e-01	3.600000e-01	6.869780e-02	1.078092e-03	1.067044e-03
3.600000e-01	4.000000e-01	4.987440e-02	9.106726e-04	9.040999e-04
4.000000e-01	4.400000e-01	3.554010e-02	6.939193e-04	6.897880e-04
4.400000e-01	4.800000e-01	2.566530e-02	5.685970e-04	5.661438e-04
4.800000e-01	5.200000e-01	1.908880e-02	4.924342e-04	4.909849e-04
5.200000e-01	5.600000e-01	1.399000e-02	3.859408e-04	3.850274e-04
5.600000e-01	6.000000e-01	9.922690e-03	3.006979e-04	3.001574e-04
6.000000e-01	6.400000e-01	7.409470e-03	2.727110e-04	2.724065e-04
6.400000e-01	6.800000e-01	4.745910e-03	1.836185e-04	1.834480e-04
6.800000e-01	7.600000e-01	2.931910e-03	1.309004e-04	1.307998e-04
7.600000e-01	8.500000e-01	1.247630e-03	8.257261e-05	8.254444e-05
8.500000e-01	1.000000e+00	2.624200e-04	3.534901e-05	3.534675e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d65-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d65-x01-y01
ScaledBy=0.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

