# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d70-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d70-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d70-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d70-x01-y01
Title=D for $n^{\mathrm{jet}} = 4$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d70-x01-y01
RatioPlot=1
LogY=1
XLabel=$D$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dD$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d70-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d70-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	1.504240e+00	3.653163e-02	3.679855e-02
3.000000e-02	6.000000e-02	8.788790e-01	2.338684e-02	2.360405e-02
6.000000e-02	9.000000e-02	5.932790e-01	1.604010e-02	1.619341e-02
9.000000e-02	1.200000e-01	4.142080e-01	1.160338e-02	1.170815e-02
1.200000e-01	1.600000e-01	2.955120e-01	7.990440e-03	8.060625e-03
1.600000e-01	2.000000e-01	2.028900e-01	5.687103e-03	5.733083e-03
2.000000e-01	2.400000e-01	1.446410e-01	4.255131e-03	4.285859e-03
2.400000e-01	2.800000e-01	1.007740e-01	3.078081e-03	3.098231e-03
2.800000e-01	3.200000e-01	7.116460e-02	2.408593e-03	2.421053e-03
3.200000e-01	3.600000e-01	4.996810e-02	1.869555e-03	1.877162e-03
3.600000e-01	4.000000e-01	3.722850e-02	1.464003e-03	1.469135e-03
4.000000e-01	4.400000e-01	2.835040e-02	1.239563e-03	1.242875e-03
4.400000e-01	4.800000e-01	1.875010e-02	9.432814e-04	9.450574e-04
4.800000e-01	5.200000e-01	1.452360e-02	7.657765e-04	7.669898e-04
5.200000e-01	5.600000e-01	1.036280e-02	5.491190e-04	5.499099e-04
5.600000e-01	6.000000e-01	7.112390e-03	5.040356e-04	5.044079e-04
6.000000e-01	6.400000e-01	4.992030e-03	3.665520e-04	3.667849e-04
6.400000e-01	6.800000e-01	3.777060e-03	3.394265e-04	3.395618e-04
6.800000e-01	7.600000e-01	2.711700e-03	2.305574e-04	2.306739e-04
7.600000e-01	8.500000e-01	8.445920e-04	1.083973e-04	1.084212e-04
8.500000e-01	1.000000e+00	1.963150e-04	5.151682e-05	5.151880e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d70-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d70-x01-y01
ScaledBy=0.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

