# BEGIN PLOT
LegendOnly=/CMS_2016_I1459051/d01-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2016_I1459051/d01-x01-y01
DrawOnly=/CMS_2016_I1459051/d01-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2016_I1459051/d01-x01-y01
Title=CMS, $\sqrt{(}s)$ = 13 TeV, Inclusive AK7 jets, $0.0 < |y| < 0.5$
RatioPlotReference=/CMS_2016_I1459051/d01-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=2
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=0.1
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2016_I1459051/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2016_I1459051/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.140000e+02	1.330000e+02	8.189420e+03	9.321199e+02	9.321199e+02
1.330000e+02	1.530000e+02	4.419660e+03	3.795037e+02	3.795037e+02
1.530000e+02	1.740000e+02	2.394080e+03	2.356683e+02	2.356683e+02
1.740000e+02	1.960000e+02	1.230380e+03	1.415347e+02	1.415347e+02
1.960000e+02	2.200000e+02	5.962530e+02	7.646074e+01	7.646074e+01
2.200000e+02	2.450000e+02	3.363690e+02	2.909428e+01	2.909428e+01
2.450000e+02	2.720000e+02	2.081760e+02	1.901685e+01	1.901685e+01
2.720000e+02	3.000000e+02	1.133710e+02	1.048212e+01	1.048212e+01
3.000000e+02	3.300000e+02	6.179290e+01	4.721299e+00	4.721299e+00
3.300000e+02	3.620000e+02	3.693400e+01	2.904635e+00	2.904635e+00
3.620000e+02	3.950000e+02	2.256300e+01	1.821997e+00	1.821997e+00
3.950000e+02	4.300000e+02	1.339610e+01	1.119190e+00	1.119190e+00
4.300000e+02	4.680000e+02	8.533220e+00	6.927618e-01	6.927618e-01
4.680000e+02	5.070000e+02	5.377610e+00	4.518139e-01	4.518139e-01
5.070000e+02	5.480000e+02	3.299870e+00	2.801791e-01	2.801791e-01
5.480000e+02	5.920000e+02	1.977010e+00	1.718773e-01	1.718773e-01
5.920000e+02	6.380000e+02	1.312960e+00	1.174296e-01	1.174296e-01
6.380000e+02	6.860000e+02	8.625320e-01	7.780854e-02	7.780854e-02
6.860000e+02	7.370000e+02	5.488640e-01	5.151804e-02	5.151804e-02
7.370000e+02	7.900000e+02	3.435920e-01	3.292863e-02	3.292863e-02
7.900000e+02	8.460000e+02	2.148950e-01	2.152795e-02	2.152795e-02
8.460000e+02	9.050000e+02	1.341240e-01	1.414350e-02	1.414350e-02
9.050000e+02	9.670000e+02	8.838110e-02	9.843543e-03	9.843543e-03
9.670000e+02	1.032000e+03	5.909040e-02	7.024072e-03	7.024072e-03
1.032000e+03	1.101000e+03	3.577870e-02	4.618036e-03	4.618036e-03
1.101000e+03	1.172000e+03	2.466290e-02	3.431724e-03	3.431724e-03
1.172000e+03	1.248000e+03	1.700110e-02	2.602384e-03	2.602384e-03
1.248000e+03	1.327000e+03	8.466720e-03	1.533564e-03	1.533564e-03
1.327000e+03	1.410000e+03	4.336910e-03	9.870813e-04	9.870813e-04
1.410000e+03	1.497000e+03	2.873000e-03	7.384533e-04	7.384533e-04
1.497000e+03	1.588000e+03	2.554810e-03	7.041410e-04	7.041410e-04
1.588000e+03	1.684000e+03	2.065230e-03	5.895186e-04	5.895186e-04
1.684000e+03	1.784000e+03	1.289850e-03	4.568464e-04	4.568464e-04
1.784000e+03	1.890000e+03	3.854720e-04	2.206455e-04	2.206455e-04
1.890000e+03	2.000000e+03	2.159440e-04	1.324745e-04	1.324745e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2016_I1459051/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2016_I1459051/d01-x01-y01
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.140000e+02	1.330000e+02	3.611332e+04	1.615037e+04	1.615037e+04
1.330000e+02	1.530000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.530000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.960000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.960000e+02	2.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+02	2.450000e+02	0.000000e+00	0.000000e+00	0.000000e+00
