# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d01-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d01-x01-y01
DrawOnly=/CMS_2018_I1680318/d01-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d01-x01-y01
YMax=5.
Title=CMS, 13 TeV, $pp$ Inelastic
RatioPlotReference=/CMS_2018_I1680318/d01-x01-y01
RatioPlot=1
LogX=0
LogY=0
RatioPlotYMax=1.4
XLabel=$\eta$ 
YLabel=$(1/N^{tot}_{events})dN_{ch}/d\eta$ 
YMin=0.
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d01-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	2.837300e+00	1.204037e-01	1.139153e-01
-2.200000e+00	-2.000000e+00	2.923500e+00	1.241974e-01	1.174089e-01
-2.000000e+00	-1.800000e+00	2.939100e+00	1.250018e-01	1.180138e-01
-1.800000e+00	-1.600000e+00	2.984500e+00	1.269044e-01	1.198165e-01
-1.600000e+00	-1.400000e+00	3.011200e+00	1.279085e-01	1.209206e-01
-1.400000e+00	-1.200000e+00	3.049100e+00	1.292064e-01	1.224179e-01
-1.200000e+00	-1.000000e+00	3.013700e+00	1.275035e-01	1.210144e-01
-1.000000e+00	-8.000000e-01	2.948100e+00	1.245026e-01	1.184130e-01
-8.000000e-01	-6.000000e-01	2.951400e+00	1.246024e-01	1.185129e-01
-6.000000e-01	-4.000000e-01	2.955000e+00	1.248021e-01	1.186127e-01
-4.000000e-01	-2.000000e-01	2.943900e+00	1.244028e-01	1.182134e-01
-2.000000e-01	0.000000e+00	2.908600e+00	1.228995e-01	1.168099e-01
0.000000e+00	2.000000e-01	2.908600e+00	1.228995e-01	1.168099e-01
2.000000e-01	4.000000e-01	2.943900e+00	1.244028e-01	1.182134e-01
4.000000e-01	6.000000e-01	2.955000e+00	1.248021e-01	1.186127e-01
6.000000e-01	8.000000e-01	2.951400e+00	1.246024e-01	1.185129e-01
8.000000e-01	1.000000e+00	2.948100e+00	1.245026e-01	1.184130e-01
1.000000e+00	1.200000e+00	3.013700e+00	1.275035e-01	1.210144e-01
1.200000e+00	1.400000e+00	3.049100e+00	1.292064e-01	1.224179e-01
1.400000e+00	1.600000e+00	3.011200e+00	1.279085e-01	1.209206e-01
1.600000e+00	1.800000e+00	2.984500e+00	1.269044e-01	1.198165e-01
1.800000e+00	2.000000e+00	2.939100e+00	1.250018e-01	1.180138e-01
2.000000e+00	2.200000e+00	2.923500e+00	1.241974e-01	1.174089e-01
2.200000e+00	2.400000e+00	2.837300e+00	1.204037e-01	1.139153e-01
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d01-x01-y01
ScaledBy=2.94638707015663176e-15
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	6.754105e+00	2.626521e-02	2.626521e-02
-2.200000e+00	-2.000000e+00	6.832240e+00	2.641863e-02	2.641863e-02
-2.000000e+00	-1.800000e+00	6.994480e+00	2.671497e-02	2.671497e-02
-1.800000e+00	-1.600000e+00	7.073125e+00	2.687741e-02	2.687741e-02
-1.600000e+00	-1.400000e+00	7.176935e+00	2.705757e-02	2.705757e-02
-1.400000e+00	-1.200000e+00	7.221615e+00	2.714994e-02	2.714994e-02
-1.200000e+00	-1.000000e+00	7.240115e+00	2.719225e-02	2.719225e-02
-1.000000e+00	-8.000000e-01	7.295105e+00	2.728490e-02	2.728490e-02
-8.000000e-01	-6.000000e-01	7.318960e+00	2.733952e-02	2.733952e-02
-6.000000e-01	-4.000000e-01	7.277920e+00	2.724893e-02	2.724893e-02
-4.000000e-01	-2.000000e-01	7.243350e+00	2.718623e-02	2.718623e-02
-2.000000e-01	0.000000e+00	7.290860e+00	2.727554e-02	2.727554e-02
0.000000e+00	2.000000e-01	7.297730e+00	2.730062e-02	2.730062e-02
2.000000e-01	4.000000e-01	7.266195e+00	2.723280e-02	2.723280e-02
4.000000e-01	6.000000e-01	7.239610e+00	2.718003e-02	2.718003e-02
6.000000e-01	8.000000e-01	7.275695e+00	2.725117e-02	2.725117e-02
8.000000e-01	1.000000e+00	7.235260e+00	2.718247e-02	2.718247e-02
1.000000e+00	1.200000e+00	7.248200e+00	2.719788e-02	2.719788e-02
1.200000e+00	1.400000e+00	7.172490e+00	2.706324e-02	2.706324e-02
1.400000e+00	1.600000e+00	7.168545e+00	2.704077e-02	2.704077e-02
1.600000e+00	1.800000e+00	7.092935e+00	2.689793e-02	2.689793e-02
1.800000e+00	2.000000e+00	6.973050e+00	2.668550e-02	2.668550e-02
2.000000e+00	2.200000e+00	6.835980e+00	2.642462e-02	2.642462e-02
2.200000e+00	2.400000e+00	6.697195e+00	2.615977e-02	2.615977e-02
# END HISTO1D

