# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d01-x02-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d01-x02-y01
DrawOnly=/CMS_2018_I1680318/d01-x02-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d01-x02-y01
YMax=5.
Title=CMS, 13 TeV, $pp$ Non-Single Diffractive enhanced
RatioPlotReference=/CMS_2018_I1680318/d01-x02-y01
RatioPlot=1
LogX=0
LogY=0
RatioPlotYMax=1.4
XLabel=$\eta$ 
YLabel=$(1/N^{tot}_{events})dN_{ch}/d\eta$ 
YMin=0.
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d01-x02-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d01-x02-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	2.979800e+00	1.326011e-01	1.223180e-01
-2.200000e+00	-2.000000e+00	3.071200e+00	1.367004e-01	1.260175e-01
-2.000000e+00	-1.800000e+00	3.088100e+00	1.374993e-01	1.267163e-01
-1.800000e+00	-1.600000e+00	3.137500e+00	1.396070e-01	1.288244e-01
-1.600000e+00	-1.400000e+00	3.165000e+00	1.405111e-01	1.299284e-01
-1.400000e+00	-1.200000e+00	3.205800e+00	1.418092e-01	1.316254e-01
-1.200000e+00	-1.000000e+00	3.169500e+00	1.398067e-01	1.301221e-01
-1.000000e+00	-8.000000e-01	3.100500e+00	1.364063e-01	1.273211e-01
-8.000000e-01	-6.000000e-01	3.105500e+00	1.366060e-01	1.275207e-01
-6.000000e-01	-4.000000e-01	3.109500e+00	1.368057e-01	1.277204e-01
-4.000000e-01	-2.000000e-01	3.097700e+00	1.364063e-01	1.272213e-01
-2.000000e-01	0.000000e+00	3.060200e+00	1.348033e-01	1.257180e-01
0.000000e+00	2.000000e-01	3.060200e+00	1.348033e-01	1.257180e-01
2.000000e-01	4.000000e-01	3.097700e+00	1.364063e-01	1.272213e-01
4.000000e-01	6.000000e-01	3.109500e+00	1.368057e-01	1.277204e-01
6.000000e-01	8.000000e-01	3.105500e+00	1.366060e-01	1.275207e-01
8.000000e-01	1.000000e+00	3.100500e+00	1.364063e-01	1.273211e-01
1.000000e+00	1.200000e+00	3.169500e+00	1.398067e-01	1.301221e-01
1.200000e+00	1.400000e+00	3.205800e+00	1.418092e-01	1.316254e-01
1.400000e+00	1.600000e+00	3.165000e+00	1.405111e-01	1.299284e-01
1.600000e+00	1.800000e+00	3.137500e+00	1.396070e-01	1.288244e-01
1.800000e+00	2.000000e+00	3.088100e+00	1.374993e-01	1.267163e-01
2.000000e+00	2.200000e+00	3.071200e+00	1.367004e-01	1.260175e-01
2.200000e+00	2.400000e+00	2.979800e+00	1.326011e-01	1.223180e-01
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d01-x02-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d01-x02-y01
ScaledBy=2.95235576610946471e-15
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	6.762420e+00	2.630809e-02	2.630809e-02
-2.200000e+00	-2.000000e+00	6.841120e+00	2.646264e-02	2.646264e-02
-2.000000e+00	-1.800000e+00	7.003180e+00	2.675874e-02	2.675874e-02
-1.800000e+00	-1.600000e+00	7.081780e+00	2.692081e-02	2.692081e-02
-1.600000e+00	-1.400000e+00	7.186210e+00	2.710255e-02	2.710255e-02
-1.400000e+00	-1.200000e+00	7.230980e+00	2.719513e-02	2.719513e-02
-1.200000e+00	-1.000000e+00	7.248400e+00	2.723547e-02	2.723547e-02
-1.000000e+00	-8.000000e-01	7.305020e+00	2.733079e-02	2.733079e-02
-8.000000e-01	-6.000000e-01	7.328825e+00	2.738573e-02	2.738573e-02
-6.000000e-01	-4.000000e-01	7.288915e+00	2.729680e-02	2.729680e-02
-4.000000e-01	-2.000000e-01	7.253770e+00	2.723339e-02	2.723339e-02
-2.000000e-01	0.000000e+00	7.300665e+00	2.732159e-02	2.732159e-02
0.000000e+00	2.000000e-01	7.307450e+00	2.734655e-02	2.734655e-02
2.000000e-01	4.000000e-01	7.276355e+00	2.727950e-02	2.727950e-02
4.000000e-01	6.000000e-01	7.250325e+00	2.722737e-02	2.722737e-02
6.000000e-01	8.000000e-01	7.286685e+00	2.729905e-02	2.729905e-02
8.000000e-01	1.000000e+00	7.245360e+00	2.722868e-02	2.722868e-02
1.000000e+00	1.200000e+00	7.259440e+00	2.724620e-02	2.724620e-02
1.200000e+00	1.400000e+00	7.183980e+00	2.711087e-02	2.711087e-02
1.400000e+00	1.600000e+00	7.179015e+00	2.708721e-02	2.708721e-02
1.600000e+00	1.800000e+00	7.103255e+00	2.694480e-02	2.694480e-02
1.800000e+00	2.000000e+00	6.982620e+00	2.673092e-02	2.673092e-02
2.000000e+00	2.200000e+00	6.844565e+00	2.646768e-02	2.646768e-02
2.200000e+00	2.400000e+00	6.704685e+00	2.620102e-02	2.620102e-02
# END HISTO1D

