# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d01-x03-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d01-x03-y01
DrawOnly=/CMS_2018_I1680318/d01-x03-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d01-x03-y01
YMax=1.8
Title=CMS, 13 TeV, $pp$ Single Diffractive enhanced
RatioPlotReference=/CMS_2018_I1680318/d01-x03-y01
RatioPlot=1
LogX=0
LogY=0
RatioPlotYMax=1.4
XLabel=$\eta$ 
YLabel=$(1/N^{tot}_{events})dN_{ch}/d\eta$ 
YMin=0.15
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d01-x03-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d01-x03-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	7.119000e-01	5.032941e-02	5.301773e-02
-2.200000e+00	-2.000000e+00	7.274000e-01	5.240229e-02	5.608895e-02
-2.000000e+00	-1.800000e+00	7.280000e-01	5.338998e-02	5.827401e-02
-1.800000e+00	-1.600000e+00	7.184000e-01	5.348963e-02	6.006879e-02
-1.600000e+00	-1.400000e+00	7.289000e-01	5.499273e-02	6.356666e-02
-1.400000e+00	-1.200000e+00	7.302000e-01	5.608083e-02	6.625300e-02
-1.200000e+00	-1.000000e+00	7.153000e-01	5.616485e-02	6.703805e-02
-1.000000e+00	-8.000000e-01	6.938000e-01	5.577383e-02	6.684497e-02
-8.000000e-01	-6.000000e-01	6.808000e-01	5.577383e-02	6.704454e-02
-6.000000e-01	-4.000000e-01	6.813000e-01	5.647167e-02	6.804241e-02
-4.000000e-01	-2.000000e-01	6.775000e-01	5.627228e-02	6.824200e-02
-2.000000e-01	0.000000e+00	6.708000e-01	5.576603e-02	6.783642e-02
0.000000e+00	2.000000e-01	6.708000e-01	5.576603e-02	6.783642e-02
2.000000e-01	4.000000e-01	6.775000e-01	5.627228e-02	6.824200e-02
4.000000e-01	6.000000e-01	6.813000e-01	5.647167e-02	6.814220e-02
6.000000e-01	8.000000e-01	6.808000e-01	5.577383e-02	6.704454e-02
8.000000e-01	1.000000e+00	6.938000e-01	5.577383e-02	6.684497e-02
1.000000e+00	1.200000e+00	7.153000e-01	5.616485e-02	6.703805e-02
1.200000e+00	1.400000e+00	7.302000e-01	5.608083e-02	6.625300e-02
1.400000e+00	1.600000e+00	7.289000e-01	5.499273e-02	6.356666e-02
1.600000e+00	1.800000e+00	7.184000e-01	5.348963e-02	6.006879e-02
1.800000e+00	2.000000e+00	7.280000e-01	5.338998e-02	5.827401e-02
2.000000e+00	2.200000e+00	7.274000e-01	5.240229e-02	5.608895e-02
2.200000e+00	2.400000e+00	7.119000e-01	5.032941e-02	5.301773e-02
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d01-x03-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d01-x03-y01
ScaledBy=1.45740090038227633e-12
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	2.650000e+00	3.640055e-01	3.640055e-01
-2.200000e+00	-2.000000e+00	2.450000e+00	3.500000e-01	3.500000e-01
-2.000000e+00	-1.800000e+00	2.700000e+00	3.674235e-01	3.674235e-01
-1.800000e+00	-1.600000e+00	2.800000e+00	3.807887e-01	3.807887e-01
-1.600000e+00	-1.400000e+00	2.600000e+00	3.605551e-01	3.605551e-01
-1.400000e+00	-1.200000e+00	2.600000e+00	3.605551e-01	3.605551e-01
-1.200000e+00	-1.000000e+00	3.150000e+00	3.968627e-01	3.968627e-01
-1.000000e+00	-8.000000e-01	2.400000e+00	3.535534e-01	3.535534e-01
-8.000000e-01	-6.000000e-01	2.450000e+00	3.500000e-01	3.500000e-01
-6.000000e-01	-4.000000e-01	1.850000e+00	3.122499e-01	3.122499e-01
-4.000000e-01	-2.000000e-01	2.100000e+00	3.240370e-01	3.240370e-01
-2.000000e-01	0.000000e+00	2.450000e+00	3.500000e-01	3.500000e-01
0.000000e+00	2.000000e-01	2.500000e+00	3.535534e-01	3.535534e-01
2.000000e-01	4.000000e-01	2.250000e+00	3.354102e-01	3.354102e-01
4.000000e-01	6.000000e-01	1.950000e+00	3.201562e-01	3.201562e-01
6.000000e-01	8.000000e-01	1.850000e+00	3.122499e-01	3.122499e-01
8.000000e-01	1.000000e+00	2.250000e+00	3.427827e-01	3.427827e-01
1.000000e+00	1.200000e+00	1.700000e+00	3.000000e-01	3.000000e-01
1.200000e+00	1.400000e+00	1.500000e+00	3.082207e-01	3.082207e-01
1.400000e+00	1.600000e+00	2.000000e+00	3.316625e-01	3.316625e-01
1.600000e+00	1.800000e+00	2.000000e+00	3.162278e-01	3.162278e-01
1.800000e+00	2.000000e+00	2.250000e+00	3.354102e-01	3.354102e-01
2.000000e+00	2.200000e+00	2.600000e+00	3.674235e-01	3.674235e-01
2.200000e+00	2.400000e+00	3.000000e+00	3.872983e-01	3.872983e-01
# END HISTO1D

