# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d02-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d02-x01-y01
DrawOnly=/CMS_2018_I1680318/d02-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d02-x01-y01
YMax=100.
Title=CMS, 13 TeV, $pp$ Inelastic
RatioPlotReference=/CMS_2018_I1680318/d02-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
XLabel=$p_{T} [GeV]$ 
YLabel=$(1/N^{tot}_{events})dN_{ch}/dp_{T}$ 
YMin=0.000001
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d02-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	2.826677e+01	1.267274e+00	1.203433e+00
6.000000e-01	8.000000e-01	1.951651e+01	8.356493e-01	8.065008e-01
8.000000e-01	1.300000e+00	9.065527e+00	3.813389e-01	3.674096e-01
1.300000e+00	1.600000e+00	3.839496e+00	1.685262e-01	1.572530e-01
1.600000e+00	2.300000e+00	1.622869e+00	7.416750e-02	6.556312e-02
2.300000e+00	3.200000e+00	4.651969e-01	2.167943e-02	1.877452e-02
3.200000e+00	4.500000e+00	1.143731e-01	5.139842e-03	4.614443e-03
4.500000e+00	6.300000e+00	2.352298e-02	9.946389e-04	9.547841e-04
6.300000e+00	9.000000e+00	4.385190e-03	1.844141e-04	1.848364e-04
9.000000e+00	1.200000e+01	8.835200e-04	4.077248e-05	4.483203e-05
1.200000e+01	1.800000e+01	1.718500e-04	9.215883e-06	1.086449e-05
1.800000e+01	5.000000e+01	8.010000e-06	6.762396e-07	7.655064e-07
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d02-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d02-x01-y01
ScaledBy=2.94638707015663176e-15
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	6.244097e+01	1.129437e-01	1.129437e-01
6.000000e-01	8.000000e-01	4.395449e+01	6.699647e-02	6.699647e-02
8.000000e-01	1.300000e+00	2.112024e+01	2.936560e-02	2.936560e-02
1.300000e+00	1.600000e+00	1.000135e+01	2.608732e-02	2.608732e-02
1.600000e+00	2.300000e+00	4.758526e+00	1.177989e-02	1.177989e-02
2.300000e+00	3.200000e+00	1.590584e+00	6.003430e-03	6.003430e-03
3.200000e+00	4.500000e+00	4.475827e-01	2.646332e-03	2.646332e-03
4.500000e+00	6.300000e+00	1.147411e-01	1.138988e-03	1.138988e-03
6.300000e+00	9.000000e+00	2.598972e-02	4.417728e-04	4.417728e-04
9.000000e+00	1.200000e+01	6.199797e-03	2.048451e-04	2.048451e-04
1.200000e+01	1.800000e+01	1.223112e-03	6.419672e-05	6.419672e-05
1.800000e+01	5.000000e+01	5.622775e-05	6.026727e-06	6.026727e-06
# END HISTO1D

