# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d03-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d03-x01-y01
DrawOnly=/CMS_2018_I1680318/d03-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d03-x01-y01
YMax=100.
Title=CMS, 13 TeV, $pp$ Inelastic
RatioPlotReference=/CMS_2018_I1680318/d03-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
XLabel=leading $p_{T} [GeV]$ 
YLabel=$(1/N^{tot}_{events})dN_{ch}/dp_{T,leading}$ 
YMin=0.000001
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d03-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	3.704134e-01	1.598988e-02	2.127890e-02
6.000000e-01	8.000000e-01	4.846437e-01	2.010571e-02	2.753106e-02
8.000000e-01	1.300000e+00	4.922150e-01	1.996791e-02	2.724150e-02
1.300000e+00	1.600000e+00	4.052976e-01	1.661041e-02	2.079423e-02
1.600000e+00	2.300000e+00	3.035739e-01	1.227329e-02	1.336011e-02
2.300000e+00	3.200000e+00	1.725304e-01	6.972972e-03	6.968802e-03
3.200000e+00	4.500000e+00	6.862500e-02	2.924279e-03	2.771042e-03
4.500000e+00	6.300000e+00	1.798014e-02	8.149128e-04	7.311031e-04
6.300000e+00	9.000000e+00	3.654570e-03	1.661295e-04	1.538155e-04
9.000000e+00	1.200000e+01	7.538400e-04	3.575327e-05	3.684577e-05
1.200000e+01	1.800000e+01	1.500600e-04	8.240400e-06	9.047348e-06
1.800000e+01	5.000000e+01	7.190000e-06	6.184658e-07	6.989278e-07
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d03-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d03-x01-y01
ScaledBy=2.94638707015663176e-15
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	9.906194e-03	1.415171e-03	1.415171e-03
6.000000e-01	8.000000e-01	2.284489e-02	1.526329e-03	1.526329e-03
8.000000e-01	1.300000e+00	5.365518e-02	1.483968e-03	1.483968e-03
1.300000e+00	1.600000e+00	1.134158e-01	2.785868e-03	2.785868e-03
1.600000e+00	2.300000e+00	2.216620e-01	2.549559e-03	2.549559e-03
2.300000e+00	3.200000e+00	3.151338e-01	2.675176e-03	2.675176e-03
3.200000e+00	4.500000e+00	2.092275e-01	1.811179e-03	1.811179e-03
4.500000e+00	6.300000e+00	7.939556e-02	9.484479e-04	9.484479e-04
6.300000e+00	9.000000e+00	2.076332e-02	3.947219e-04	3.947219e-04
9.000000e+00	1.200000e+01	5.269827e-03	1.889299e-04	1.889299e-04
1.200000e+01	1.800000e+01	1.071486e-03	6.008598e-05	6.008598e-05
1.800000e+01	5.000000e+01	4.927825e-05	5.650746e-06	5.650746e-06
# END HISTO1D

