# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d03-x02-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d03-x02-y01
DrawOnly=/CMS_2018_I1680318/d03-x02-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d03-x02-y01
YMax=100.
Title=CMS, 13 TeV, $pp$ Non-Single Diffractive enhanced
RatioPlotReference=/CMS_2018_I1680318/d03-x02-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
XLabel=leading $p_{T} [GeV]$ 
YLabel=$(1/N^{tot}_{events})dN_{ch}/dp_{T,leading}$ 
YMin=0.000001
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d03-x02-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d03-x02-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	2.966402e-01	1.577545e-02	1.953862e-02
6.000000e-01	8.000000e-01	4.233072e-01	1.956912e-02	2.580597e-02
8.000000e-01	1.300000e+00	4.717409e-01	1.976356e-02	2.646654e-02
1.300000e+00	1.600000e+00	4.107432e-01	1.685593e-02	2.056573e-02
1.600000e+00	2.300000e+00	3.160579e-01	1.283042e-02	1.356299e-02
2.300000e+00	3.200000e+00	1.823595e-01	7.578343e-03	7.510834e-03
3.200000e+00	4.500000e+00	7.294307e-02	3.355757e-03	3.033145e-03
4.500000e+00	6.300000e+00	1.917760e-02	9.501343e-04	8.058229e-04
6.300000e+00	9.000000e+00	3.906500e-03	1.927816e-04	1.696601e-04
9.000000e+00	1.200000e+01	8.083500e-04	4.030236e-05	4.051816e-05
1.200000e+01	1.800000e+01	1.603800e-04	9.007247e-06	9.763043e-06
1.800000e+01	5.000000e+01	7.700000e-06	6.684310e-07	7.406079e-07
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d03-x02-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d03-x02-y01
ScaledBy=2.95235576610946471e-15
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	9.521109e-03	1.388796e-03	1.388796e-03
6.000000e-01	8.000000e-01	2.268860e-02	1.522698e-03	1.522698e-03
8.000000e-01	1.300000e+00	5.323718e-02	1.479781e-03	1.479781e-03
1.300000e+00	1.600000e+00	1.134430e-01	2.789060e-03	2.789060e-03
1.600000e+00	2.300000e+00	2.216769e-01	2.551936e-03	2.551936e-03
2.300000e+00	3.200000e+00	3.152994e-01	2.678610e-03	2.678610e-03
3.200000e+00	4.500000e+00	2.092462e-01	1.813107e-03	1.813107e-03
4.500000e+00	6.300000e+00	7.943261e-02	9.496359e-04	9.496359e-04
6.300000e+00	9.000000e+00	2.076037e-02	3.950944e-04	3.950944e-04
9.000000e+00	1.200000e+01	5.280500e-03	1.893127e-04	1.893127e-04
1.200000e+01	1.800000e+01	1.073657e-03	6.020770e-05	6.020770e-05
1.800000e+01	5.000000e+01	4.874503e-05	5.626693e-06	5.626693e-06
# END HISTO1D

