# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d04-x02-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d04-x02-y01
DrawOnly=/CMS_2018_I1680318/d04-x02-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d04-x02-y01
YMax=100.
Title=CMS, 13 TeV, $pp$ Non-Single Diffractive enhanced
RatioPlotReference=/CMS_2018_I1680318/d04-x02-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
XLabel=$p_{T, min} [GeV]$ 
YLabel=$D(p_{T, min})$ 
YMin=0.0005
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d04-x02-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d04-x02-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	1.002310e+00	4.024792e-02	4.492370e-02
6.000000e-01	8.000000e-01	9.726458e-01	3.900131e-02	4.254129e-02
8.000000e-01	1.300000e+00	8.879843e-01	3.565366e-02	3.758006e-02
1.300000e+00	1.600000e+00	6.521139e-01	2.634938e-02	2.669587e-02
1.600000e+00	2.300000e+00	5.288909e-01	2.174565e-02	2.157480e-02
2.300000e+00	3.200000e+00	3.076504e-01	1.348334e-02	1.266008e-02
3.200000e+00	4.500000e+00	1.435268e-01	6.761870e-03	5.947499e-03
4.500000e+00	6.300000e+00	4.870082e-02	2.338958e-03	2.034141e-03
6.300000e+00	9.000000e+00	1.418114e-02	6.580031e-04	6.135491e-04
9.000000e+00	1.200000e+01	3.633600e-03	1.690185e-04	1.775915e-04
1.200000e+01	1.800000e+01	1.208560e-03	6.481914e-05	7.243944e-05
1.800000e+01	5.000000e+01	2.462800e-04	2.145056e-05	2.378904e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d04-x02-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1680318/d04-x02-y01
ScaledBy=2.95235576610946471e-15
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	1.000000e+00	4.523681e-03	4.523681e-03
6.000000e-01	8.000000e-01	9.990480e-01	4.521548e-03	4.521548e-03
8.000000e-01	1.300000e+00	9.945102e-01	4.511281e-03	4.511281e-03
1.300000e+00	1.600000e+00	9.678917e-01	4.450192e-03	4.450192e-03
1.600000e+00	2.300000e+00	9.338587e-01	4.370826e-03	4.370826e-03
2.300000e+00	3.200000e+00	7.786849e-01	3.989116e-03	3.989116e-03
3.200000e+00	4.500000e+00	4.949153e-01	3.178261e-03	3.178261e-03
4.500000e+00	6.300000e+00	2.228952e-01	2.132066e-03	2.132066e-03
6.300000e+00	9.000000e+00	7.991656e-02	1.274303e-03	1.274303e-03
9.000000e+00	1.200000e+01	2.386354e-02	6.970525e-04	6.970525e-04
1.200000e+01	1.800000e+01	8.022040e-03	4.041394e-04	4.041394e-04
1.800000e+01	5.000000e+01	1.580099e-03	1.811902e-04	1.811902e-04
# END HISTO1D

