# BEGIN PLOT
LegendOnly=/CMS_2018_I1682495/d05-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d05-x01-y01
XLabel=$m_u$
RatioPlotReference=/CMS_2018_I1682495/d05-x01-y01
YLabel=$\frac{d^2\sigma}{dp_{T} dm_u}$
DrawOnly=/CMS_2018_I1682495/d05-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d05-x01-y01
RatioPlot=1
Title=CMS, 13 TeV, Ungroomed jet mass $m_u$ ($550 < p_T < 650$ GeV)
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1682495/d05-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2018_I1682495/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	4.000000e+01	1.175200e-02	4.132444e-03	4.132444e-03
4.000000e+01	6.000000e+01	3.953400e-02	6.969234e-03	6.969234e-03
6.000000e+01	8.000000e+01	4.689400e-02	8.266836e-03	8.266836e-03
8.000000e+01	1.000000e+02	3.372900e-02	5.945959e-03	5.945959e-03
1.000000e+02	1.500000e+02	1.778600e-02	2.256327e-03	2.256327e-03
1.500000e+02	2.000000e+02	7.899800e-03	4.906774e-04	4.906774e-04
2.000000e+02	2.500000e+02	3.073400e-03	2.518752e-04	2.518752e-04
2.500000e+02	3.000000e+02	5.675100e-04	9.395261e-05	9.395261e-05
3.000000e+02	3.500000e+02	2.404500e-05	9.162751e-06	9.162751e-06
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d05-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d05-x01-y01
ScaledBy=2.00000000070667579e-07
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

