# BEGIN PLOT
LegendOnly=/CMS_2018_I1682495/d17-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d17-x01-y01
XLabel=$m_g$
RatioPlotReference=/CMS_2018_I1682495/d17-x01-y01
YLabel=$\frac{d^2\sigma}{dp_{T} dm_g}$
DrawOnly=/CMS_2018_I1682495/d17-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d17-x01-y01
RatioPlot=1
Title=CMS, 13 TeV, Groomed jet mass $m_g$ ($550 < p_T < 650$ GeV)
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1682495/d17-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2018_I1682495/d17-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	2.000000e+01	5.575900e-02	3.678882e-03	3.678882e-03
2.000000e+01	4.000000e+01	2.599500e-02	1.445305e-03	1.445305e-03
4.000000e+01	6.000000e+01	1.656800e-02	9.651798e-04	9.651798e-04
6.000000e+01	8.000000e+01	1.315100e-02	7.266766e-04	7.266766e-04
8.000000e+01	1.000000e+02	1.121600e-02	6.272762e-04	6.272762e-04
1.000000e+02	1.500000e+02	8.420800e-03	5.093614e-04	5.093614e-04
1.500000e+02	2.000000e+02	6.051800e-03	4.042247e-04	4.042247e-04
2.000000e+02	2.500000e+02	2.919100e-03	2.278523e-04	2.278523e-04
2.500000e+02	3.000000e+02	6.007000e-04	9.508619e-05	9.508619e-05
3.000000e+02	3.500000e+02	3.063200e-05	1.104201e-05	1.104201e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d17-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d17-x01-y01
ScaledBy=2.00000000070667579e-07
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

