# BEGIN PLOT
LegendOnly=/CMS_2018_I1682495/d24-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d24-x01-y01
XLabel=$m_g$
RatioPlotReference=/CMS_2018_I1682495/d24-x01-y01
YLabel=$\frac{d^2\sigma}{dp_{T} dm_g}$
DrawOnly=/CMS_2018_I1682495/d24-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d24-x01-y01
RatioPlot=1
Title=CMS, 13 TeV, Groomed jet mass $m_g$ ($p_T > 1300$ GeV)
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1682495/d24-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2018_I1682495/d24-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	2.000000e+01	2.781900e-06	3.324993e-07	3.324993e-07
2.000000e+01	4.000000e+01	1.760700e-06	2.885316e-07	2.885316e-07
4.000000e+01	6.000000e+01	8.093200e-07	1.210751e-07	1.210751e-07
6.000000e+01	8.000000e+01	5.575900e-07	7.694582e-08	7.694582e-08
8.000000e+01	1.000000e+02	4.813200e-07	5.577909e-08	5.577909e-08
1.000000e+02	1.500000e+02	3.606600e-07	3.657467e-08	3.657467e-08
1.500000e+02	2.000000e+02	2.570300e-07	2.893861e-08	2.893861e-08
2.000000e+02	2.500000e+02	2.191700e-07	2.389313e-08	2.389313e-08
2.500000e+02	3.000000e+02	1.845000e-07	2.106926e-08	2.106926e-08
3.000000e+02	3.500000e+02	1.868400e-07	2.215946e-08	2.215946e-08
3.500000e+02	4.000000e+02	1.353900e-07	1.885486e-08	1.885486e-08
4.000000e+02	4.500000e+02	9.020500e-08	1.382030e-08	1.382030e-08
4.500000e+02	5.000000e+02	9.087400e-08	1.144201e-08	1.144201e-08
5.000000e+02	5.500000e+02	6.476800e-08	1.268326e-08	1.268326e-08
5.500000e+02	6.000000e+02	2.724000e-08	6.375330e-09	6.375330e-09
6.000000e+02	6.500000e+02	1.631700e-08	4.643502e-09	4.643502e-09
6.500000e+02	7.000000e+02	6.055800e-09	2.879351e-09	2.879351e-09
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d24-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d24-x01-y01
ScaledBy=1.70940171000570577e-09
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	4.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+02	5.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+02	5.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+02	6.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+02	6.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+02	7.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

