# BEGIN PLOT
LegendOnly=/CMS_2018_I1682495/d33-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d33-x01-y01
XLabel=$m_u$
RatioPlotReference=/CMS_2018_I1682495/d33-x01-y01
YLabel=$\frac{1}{d\sigma/dp_{T}}\frac{d^2\sigma}{dp_{T} dm_u}$
DrawOnly=/CMS_2018_I1682495/d33-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d33-x01-y01
RatioPlot=1
Title=CMS, 13 TeV, Ungroomed jet mass $m_u$ ($1000 < p_T < 1100$ GeV)
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1682495/d33-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2018_I1682495/d33-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+01	6.000000e+01	3.385200e-03	9.747277e-04	9.747277e-04
6.000000e+01	8.000000e+01	6.721700e-03	1.030026e-03	1.030026e-03
8.000000e+01	1.000000e+02	7.846200e-03	1.134875e-03	1.134875e-03
1.000000e+02	1.500000e+02	5.470200e-03	7.912072e-04	7.912072e-04
1.500000e+02	2.000000e+02	2.803700e-03	2.583993e-04	2.583993e-04
2.000000e+02	2.500000e+02	1.846200e-03	7.940261e-05	7.940261e-05
2.500000e+02	3.000000e+02	1.043700e-03	6.551007e-05	6.551007e-05
3.000000e+02	3.500000e+02	6.958800e-04	4.842119e-05	4.842119e-05
3.500000e+02	4.000000e+02	4.383600e-04	3.965802e-05	3.965802e-05
4.000000e+02	4.500000e+02	2.213700e-04	4.644706e-05	4.644706e-05
4.500000e+02	5.000000e+02	5.046500e-05	1.530094e-05	1.530094e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d33-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d33-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	4.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+02	5.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

