# BEGIN PLOT
LegendOnly=/CMS_2018_I1682495/d41-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d41-x01-y01
XLabel=$m_g$
RatioPlotReference=/CMS_2018_I1682495/d41-x01-y01
YLabel=$\frac{1}{d\sigma/dp_{T}}\frac{d^2\sigma}{dp_{T} dm_g}$
DrawOnly=/CMS_2018_I1682495/d41-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d41-x01-y01
RatioPlot=1
Title=CMS, 13 TeV, Groomed jet mass $m_g$ ($550 < p_T < 650$ GeV)
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1682495/d41-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2018_I1682495/d41-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	2.000000e+01	1.358900e-02	5.721610e-04	5.721610e-04
2.000000e+01	4.000000e+01	6.335300e-03	1.156513e-04	1.156513e-04
4.000000e+01	6.000000e+01	4.037900e-03	9.421659e-05	9.421659e-05
6.000000e+01	8.000000e+01	3.205100e-03	6.649502e-05	6.649502e-05
8.000000e+01	1.000000e+02	2.733500e-03	6.434884e-05	6.434884e-05
1.000000e+02	1.500000e+02	2.052200e-03	5.519060e-05	5.519060e-05
1.500000e+02	2.000000e+02	1.474900e-03	6.018396e-05	6.018396e-05
2.000000e+02	2.500000e+02	7.114200e-04	3.801648e-05	3.801648e-05
2.500000e+02	3.000000e+02	1.464000e-04	2.186873e-05	2.186873e-05
3.000000e+02	3.500000e+02	7.465300e-06	2.633197e-06	2.633197e-06
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d41-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d41-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

