# BEGIN PLOT
LegendOnly=/CMS_2018_I1682495/d48-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d48-x01-y01
XLabel=$m_g$
RatioPlotReference=/CMS_2018_I1682495/d48-x01-y01
YLabel=$\frac{1}{d\sigma/dp_{T}}\frac{d^2\sigma}{dp_{T} dm_g}$
DrawOnly=/CMS_2018_I1682495/d48-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d48-x01-y01
RatioPlot=1
Title=CMS, 13 TeV, Groomed jet mass $m_g$ ($p_T > 1300$ GeV)
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1682495/d48-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2018_I1682495/d48-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	2.000000e+01	1.053000e-02	1.002888e-03	1.002888e-03
2.000000e+01	4.000000e+01	6.664200e-03	9.899610e-04	9.899610e-04
4.000000e+01	6.000000e+01	3.063300e-03	3.717042e-04	3.717042e-04
6.000000e+01	8.000000e+01	2.110500e-03	2.389640e-04	2.389640e-04
8.000000e+01	1.000000e+02	1.821800e-03	1.479741e-04	1.479741e-04
1.000000e+02	1.500000e+02	1.365100e-03	8.342230e-05	8.342230e-05
1.500000e+02	2.000000e+02	9.728700e-04	7.679215e-05	7.679215e-05
2.000000e+02	2.500000e+02	8.295800e-04	6.334366e-05	6.334366e-05
2.500000e+02	3.000000e+02	6.983500e-04	5.833489e-05	5.833489e-05
3.000000e+02	3.500000e+02	7.072000e-04	6.586152e-05	6.586152e-05
3.500000e+02	4.000000e+02	5.124600e-04	5.323459e-05	5.323459e-05
4.000000e+02	4.500000e+02	3.414300e-04	4.179184e-05	4.179184e-05
4.500000e+02	5.000000e+02	3.439600e-04	3.899417e-05	3.899417e-05
5.000000e+02	5.500000e+02	2.451500e-04	3.990460e-05	3.990460e-05
5.500000e+02	6.000000e+02	1.031000e-04	2.124488e-05	2.124488e-05
6.000000e+02	6.500000e+02	6.176200e-05	1.666378e-05	1.666378e-05
6.500000e+02	7.000000e+02	2.292100e-05	1.033043e-05	1.033043e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d48-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2018_I1682495/d48-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	4.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+02	5.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+02	5.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+02	6.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+02	6.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+02	7.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

