# BEGIN PLOT
LegendOnly=/CMS_2021_I1932460/d06-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d06-x01-y01
DrawOnly=/CMS_2021_I1932460/d06-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d06-x01-y01
YMax=12000000
Title=CMS, 13 TeV, 4-jet production
RatioPlotReference=/CMS_2021_I1932460/d06-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=3.8
XLabel=$\eta_{2}$
YLabel=d$\sigma$/d$\eta_{2}$ [pb]
YMin=20000
Legend=1
RatioPlotYMin=0.3
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1932460/d06-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1932460/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-4.716000e+00	-3.489000e+00	5.889000e+04	1.484000e+04	1.773000e+04
-3.489000e+00	-2.964000e+00	1.514700e+05	2.923700e+04	3.826500e+04
-2.964000e+00	-2.500000e+00	2.310600e+05	4.272600e+04	5.479500e+04
-2.500000e+00	-1.930000e+00	3.451100e+05	7.091600e+04	8.912300e+04
-1.930000e+00	-1.566000e+00	4.075700e+05	8.231800e+04	1.012900e+05
-1.566000e+00	-1.131000e+00	4.410700e+05	8.405500e+04	1.149500e+05
-1.131000e+00	-7.830000e-01	5.075200e+05	9.898200e+04	1.257900e+05
-7.830000e-01	-2.610000e-01	5.260000e+05	9.796300e+04	1.339900e+05
-2.610000e-01	2.610000e-01	5.538700e+05	9.875200e+04	1.336000e+05
2.610000e-01	7.830000e-01	5.224200e+05	1.029400e+05	1.323200e+05
7.830000e-01	1.131000e+00	4.871000e+05	9.660200e+04	1.188700e+05
1.131000e+00	1.566000e+00	4.247100e+05	8.459100e+04	1.125200e+05
1.566000e+00	1.930000e+00	4.080400e+05	8.021100e+04	1.064000e+05
1.930000e+00	2.500000e+00	3.368800e+05	7.199300e+04	9.398600e+04
2.500000e+00	2.964000e+00	2.268900e+05	4.865400e+04	6.568800e+04
2.964000e+00	3.489000e+00	1.514600e+05	3.103800e+04	3.798500e+04
3.489000e+00	4.716000e+00	5.758700e+04	1.456600e+04	1.829200e+04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d06-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d06-x01-y01
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
-4.716000e+00	-3.489000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.489000e+00	-2.964000e+00	7.841749e+05	4.527436e+05	4.527436e+05
-2.964000e+00	-2.500000e+00	5.915112e+05	4.182616e+05	4.182616e+05
-2.500000e+00	-1.930000e+00	9.630218e+05	4.815109e+05	4.815109e+05
-1.930000e+00	-1.566000e+00	3.770071e+05	3.770072e+05	3.770072e+05
-1.566000e+00	-1.131000e+00	9.464179e+05	5.464146e+05	5.464146e+05
-1.131000e+00	-7.830000e-01	3.943408e+05	3.943408e+05	3.943408e+05
-7.830000e-01	-2.610000e-01	7.886816e+05	4.553455e+05	4.553455e+05
-2.610000e-01	2.610000e-01	5.257877e+05	3.717881e+05	3.717881e+05
2.610000e-01	7.830000e-01	2.628939e+05	2.628939e+05	2.628939e+05
7.830000e-01	1.131000e+00	3.943408e+05	3.943408e+05	3.943408e+05
1.131000e+00	1.566000e+00	9.464179e+05	5.464146e+05	5.464146e+05
1.566000e+00	1.930000e+00	3.770071e+05	3.770072e+05	3.770072e+05
1.930000e+00	2.500000e+00	7.222663e+05	4.170006e+05	4.170006e+05
2.500000e+00	2.964000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.964000e+00	3.489000e+00	1.045566e+06	5.227832e+05	5.227832e+05
3.489000e+00	4.716000e+00	3.355271e+05	1.937167e+05	1.937167e+05
# END HISTO1D

