# BEGIN PLOT
LegendOnly=/CMS_2021_I1932460/d10-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d10-x01-y01
DrawOnly=/CMS_2021_I1932460/d10-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d10-x01-y01
YMax=220
Title=CMS, 13 TeV, 4-jet production
RatioPlotReference=/CMS_2021_I1932460/d10-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=1.72
XLabel=$\Delta\phi_{\rm 3j}^{\rm min}$ [rad]
YLabel=dN/d$\Delta\phi_{\rm 3j}^{\rm min}$ [a.u.]
YMin=0.03
Legend=1
RatioPlotYMin=0.5
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1932460/d10-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1932460/d10-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.618000e-01	2.017000e-01	1.692900e-02	1.522700e-02
2.618000e-01	5.236000e-01	7.564300e-01	5.722000e-02	5.639000e-02
5.236000e-01	7.854000e-01	1.231100e+00	6.459900e-02	6.813100e-02
7.854000e-01	1.047200e+00	1.810800e+00	6.913800e-02	6.734600e-02
1.047200e+00	1.309000e+00	2.279700e+00	1.050200e-01	1.161000e-01
1.309000e+00	1.570800e+00	2.931900e+00	1.447100e-01	1.479400e-01
1.570800e+00	1.832600e+00	4.068300e+00	2.237700e-01	2.400700e-01
1.832600e+00	2.094400e+00	5.601700e+00	2.938400e-01	2.849400e-01
2.094400e+00	2.356200e+00	8.016100e+00	2.836600e-01	3.292200e-01
2.356200e+00	2.618000e+00	9.800600e+00	4.389700e-01	4.344400e-01
2.618000e+00	2.879800e+00	1.164400e+01	3.937700e-01	5.266400e-01
2.879800e+00	3.141600e+00	6.753700e+00	3.542400e-01	3.764300e-01
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d10-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d10-x01-y01
ScaledBy=1.52619022288031944e-10
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.618000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.618000e-01	5.236000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.236000e-01	7.854000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.854000e-01	1.047200e+00	4.000000e+00	4.000000e+00	4.000000e+00
1.047200e+00	1.309000e+00	8.000000e+00	5.656855e+00	5.656855e+00
1.309000e+00	1.570800e+00	2.400000e+01	9.797959e+00	9.797959e+00
1.570800e+00	1.832600e+00	8.000000e+00	5.656855e+00	5.656855e+00
1.832600e+00	2.094400e+00	2.000000e+01	8.944272e+00	8.944272e+00
2.094400e+00	2.356200e+00	1.200000e+01	6.928204e+00	6.928204e+00
2.356200e+00	2.618000e+00	2.000000e+01	8.944272e+00	8.944272e+00
2.618000e+00	2.879800e+00	2.800000e+01	1.058301e+01	1.058301e+01
2.879800e+00	3.141600e+00	1.600000e+01	8.000000e+00	8.000000e+00
# END HISTO1D

