# BEGIN PLOT
LegendOnly=/CMS_2021_I1932460/d11-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d11-x01-y01
DrawOnly=/CMS_2021_I1932460/d11-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d11-x01-y01
YMax=35
Title=CMS, 13 TeV, 4-jet production
RatioPlotReference=/CMS_2021_I1932460/d11-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.9
XLabel=$\Delta$Y
YLabel=dN/d$\Delta$Y [a.u.]
YMin=0.009
Legend=1
RatioPlotYMin=0.4
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1932460/d11-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1932460/d11-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e-01	1.511400e-01	9.756300e-03	9.023800e-03
8.000000e-01	1.500000e+00	7.684300e-01	2.179000e-02	2.205000e-02
1.500000e+00	2.100000e+00	1.305900e+00	4.295600e-02	4.342300e-02
2.100000e+00	2.600000e+00	1.774500e+00	5.268100e-02	5.203500e-02
2.600000e+00	3.100000e+00	1.950300e+00	7.058700e-02	6.377600e-02
3.100000e+00	3.600000e+00	1.997600e+00	6.557500e-02	6.260700e-02
3.600000e+00	4.100000e+00	1.761500e+00	7.556900e-02	7.392100e-02
4.100000e+00	4.600000e+00	1.667500e+00	6.625700e-02	5.621800e-02
4.600000e+00	5.100000e+00	1.279400e+00	7.342500e-02	4.794700e-02
5.100000e+00	5.700000e+00	9.312100e-01	5.255200e-02	3.913900e-02
5.700000e+00	6.900000e+00	4.833700e-01	4.423300e-02	2.395200e-02
6.900000e+00	9.400000e+00	5.707400e-02	1.179300e-02	5.621700e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d11-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d11-x01-y01
ScaledBy=4.06379006247672071e-11
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e-01	3.485477e-01	3.485477e-01	3.485477e-01
8.000000e-01	1.500000e+00	3.983403e-01	3.983403e-01	3.983403e-01
1.500000e+00	2.100000e+00	4.647303e-01	4.647303e-01	4.647303e-01
2.100000e+00	2.600000e+00	2.788382e+00	1.247002e+00	1.247002e+00
2.600000e+00	3.100000e+00	3.903734e+00	1.475473e+00	1.475473e+00
3.100000e+00	3.600000e+00	1.673029e+00	9.659238e-01	9.659238e-01
3.600000e+00	4.100000e+00	2.230706e+00	1.115353e+00	1.115353e+00
4.100000e+00	4.600000e+00	1.115353e+00	7.886736e-01	7.886736e-01
4.600000e+00	5.100000e+00	2.788382e+00	1.247002e+00	1.247002e+00
5.100000e+00	5.700000e+00	9.294605e-01	6.572280e-01	6.572280e-01
5.700000e+00	6.900000e+00	6.970954e-01	4.024683e-01	4.024683e-01
6.900000e+00	9.400000e+00	1.115353e-01	1.115353e-01	1.115353e-01
# END HISTO1D

