# BEGIN PLOT
LegendOnly=/CMS_2021_I1932460/d46-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d46-x01-y01
DrawOnly=/CMS_2021_I1932460/d46-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d46-x01-y01
YMax=150000000
Title=CMS, 13 TeV, 4-jet production
RatioPlotReference=/CMS_2021_I1932460/d46-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=3.2
XLabel=$\Delta\phi_{\rm 3j}^{\rm min}$ [rad]
YLabel=d$\sigma$/d$\Delta\phi_{\rm 3j}^{\rm min}$ [pb/rad]
YMin=8500
Legend=1
RatioPlotYMin=0.5
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1932460/d46-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1932460/d46-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.618000e-01	3.889800e+04	9.867800e+03	1.133500e+04
2.618000e-01	5.236000e-01	1.455100e+05	3.338800e+04	3.600100e+04
5.236000e-01	7.854000e-01	2.351800e+05	5.056200e+04	7.401000e+04
7.854000e-01	1.047200e+00	3.473600e+05	7.191600e+04	9.783800e+04
1.047200e+00	1.309000e+00	4.373700e+05	8.875300e+04	1.125100e+05
1.309000e+00	1.570800e+00	5.619900e+05	1.221000e+05	1.649300e+05
1.570800e+00	1.832600e+00	7.799900e+05	1.621600e+05	2.136800e+05
1.832600e+00	2.094400e+00	1.073300e+06	2.130200e+05	2.988700e+05
2.094400e+00	2.356200e+00	1.536500e+06	3.121300e+05	3.982200e+05
2.356200e+00	2.618000e+00	1.878100e+06	3.677000e+05	4.982200e+05
2.618000e+00	2.879800e+00	2.226800e+06	4.341000e+05	5.373800e+05
2.879800e+00	3.141600e+00	1.295800e+06	2.353700e+05	2.952100e+05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d46-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d46-x01-y01
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.618000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.618000e-01	5.236000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.236000e-01	7.854000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.854000e-01	1.047200e+00	5.241811e+05	5.241811e+05	5.241811e+05
1.047200e+00	1.309000e+00	1.048362e+06	7.413040e+05	7.413040e+05
1.309000e+00	1.570800e+00	3.145086e+06	1.283976e+06	1.283976e+06
1.570800e+00	1.832600e+00	1.048362e+06	7.413040e+05	7.413040e+05
1.832600e+00	2.094400e+00	2.620905e+06	1.172104e+06	1.172104e+06
2.094400e+00	2.356200e+00	1.572543e+06	9.079082e+05	9.079082e+05
2.356200e+00	2.618000e+00	2.620905e+06	1.172104e+06	1.172104e+06
2.618000e+00	2.879800e+00	3.669267e+06	1.386853e+06	1.386853e+06
2.879800e+00	3.141600e+00	2.096724e+06	1.048362e+06	1.048362e+06
# END HISTO1D

