# BEGIN PLOT
LegendOnly=/CMS_2021_I1932460/d47-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d47-x01-y01
DrawOnly=/CMS_2021_I1932460/d47-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d47-x01-y01
YMax=21000000
Title=CMS, 13 TeV, 4-jet production
RatioPlotReference=/CMS_2021_I1932460/d47-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=4.9
XLabel=$\Delta$Y
YLabel=d$\sigma$/d$\Delta$Y [pb]
YMin=5000
Legend=1
RatioPlotYMin=0.3
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1932460/d47-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1932460/d47-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e-01	5.264600e+04	9.039000e+03	1.299400e+04
8.000000e-01	1.500000e+00	2.679100e+05	4.950600e+04	6.382200e+04
1.500000e+00	2.100000e+00	4.557000e+05	8.477300e+04	1.111400e+05
2.100000e+00	2.600000e+00	6.182100e+05	1.153100e+05	1.506600e+05
2.600000e+00	3.100000e+00	6.797600e+05	1.360400e+05	1.737700e+05
3.100000e+00	3.600000e+00	6.944000e+05	1.307300e+05	1.699500e+05
3.600000e+00	4.100000e+00	6.111400e+05	1.240900e+05	1.726800e+05
4.100000e+00	4.600000e+00	5.797100e+05	1.171700e+05	1.516500e+05
4.600000e+00	5.100000e+00	4.401800e+05	9.137900e+04	1.138000e+05
5.100000e+00	5.700000e+00	3.216300e+05	6.742700e+04	8.710300e+04
5.700000e+00	6.900000e+00	1.638500e+05	3.684500e+04	4.758100e+04
6.900000e+00	9.400000e+00	1.831500e+04	5.029600e+03	6.336900e+03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d47-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/CMS_2021_I1932460/d47-x01-y01
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e-01	1.715382e+05	1.715383e+05	1.715383e+05
8.000000e-01	1.500000e+00	1.960437e+05	1.960437e+05	1.960437e+05
1.500000e+00	2.100000e+00	2.287177e+05	2.287177e+05	2.287177e+05
2.100000e+00	2.600000e+00	1.372306e+06	6.137139e+05	6.137139e+05
2.600000e+00	3.100000e+00	1.921228e+06	7.261562e+05	7.261562e+05
3.100000e+00	3.600000e+00	8.233836e+05	4.753807e+05	4.753807e+05
3.600000e+00	4.100000e+00	1.097845e+06	5.489224e+05	5.489224e+05
4.100000e+00	4.600000e+00	5.489224e+05	3.881468e+05	3.881468e+05
4.600000e+00	5.100000e+00	1.372306e+06	6.137139e+05	6.137139e+05
5.100000e+00	5.700000e+00	4.574353e+05	3.234556e+05	3.234556e+05
5.700000e+00	6.900000e+00	3.430765e+05	1.980753e+05	1.980753e+05
6.900000e+00	9.400000e+00	5.489224e+04	5.489224e+04	5.489224e+04
# END HISTO1D

