# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_HT
XLabel=$H_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}H_\mathrm{T}$ [pb/GeV]
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_HT
Title=Scalar sum of jet transverse momenta ($H_\mathrm{T}$)
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_HT
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_HT
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.245265e+01	7.710183e+07	2.083037e+06	2.083037e+06
2.245265e+01	2.520608e+01	4.146679e+07	1.441053e+06	1.441053e+06
2.520608e+01	2.829717e+01	1.997799e+07	9.438620e+05	9.438620e+05
2.829717e+01	3.176733e+01	8.739643e+06	5.878921e+05	5.878921e+05
3.176733e+01	3.566304e+01	4.544165e+06	4.031809e+05	4.031809e+05
3.566304e+01	4.003649e+01	1.851308e+06	2.410198e+05	2.410198e+05
4.003649e+01	4.494627e+01	4.527975e+06	3.557512e+05	3.557512e+05
4.494627e+01	5.045815e+01	6.373693e+06	3.983558e+05	3.983558e+05
5.045815e+01	5.664597e+01	5.677449e+06	3.548406e+05	3.548406e+05
5.664597e+01	6.359261e+01	3.753442e+06	2.723033e+05	2.723033e+05
6.359261e+01	7.139114e+01	2.375593e+06	2.044585e+05	2.044585e+05
7.139114e+01	8.014603e+01	1.724222e+06	1.643980e+05	1.643980e+05
8.014603e+01	8.997455e+01	1.089074e+06	1.233134e+05	1.233134e+05
8.997455e+01	1.010084e+02	5.348012e+05	8.155641e+04	8.155641e+04
1.010084e+02	1.133953e+02	4.874622e+05	7.348770e+04	7.348770e+04
1.133953e+02	1.273013e+02	1.875004e+05	4.301555e+04	4.301555e+04
1.273013e+02	1.429125e+02	1.846010e+05	4.028323e+04	4.028323e+04
1.429125e+02	1.604383e+02	1.722645e+05	3.672691e+04	3.672691e+04
1.604383e+02	1.801133e+02	9.067334e+04	2.514826e+04	2.514826e+04
1.801133e+02	2.022010e+02	3.727792e+04	1.521865e+04	1.521865e+04
2.022010e+02	2.269975e+02	5.534273e+04	1.750091e+04	1.750091e+04
2.269975e+02	2.548348e+02	1.971895e+04	9.859476e+03	9.859476e+03
2.548348e+02	2.860858e+02	8.782477e+03	6.210150e+03	6.210150e+03
2.860858e+02	3.211693e+02	3.911542e+03	3.911543e+03	3.911543e+03
3.211693e+02	3.605551e+02	3.484266e+03	3.484266e+03	3.484266e+03
3.605551e+02	4.047710e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.047710e+02	4.544091e+02	2.764622e+03	2.764623e+03	2.764623e+03
4.544091e+02	5.101345e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.101345e+02	5.726936e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.726936e+02	6.429246e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.429246e+02	7.217681e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.217681e+02	8.102804e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.102804e+02	9.096473e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.096473e+02	1.021200e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.021200e+03	1.146432e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.146432e+03	1.287022e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.287022e+03	1.444853e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.444853e+03	1.622039e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.622039e+03	1.820954e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.820954e+03	2.044263e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.044263e+03	2.294956e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.294956e+03	2.576392e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.576392e+03	2.892342e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.892342e+03	3.247038e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.247038e+03	3.645231e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.645231e+03	4.092255e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.092255e+03	4.594099e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.594099e+03	5.157486e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.157486e+03	5.789962e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.789962e+03	6.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

