# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~1})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_1
Title=Pseudorapidity of leading jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_1
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_1
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.578152e+07	3.290674e+06	3.290674e+06
-4.800000e+00	-4.600000e+00	1.097845e+07	2.911101e+06	2.911101e+06
-4.600000e+00	-4.400000e+00	1.989844e+07	3.695047e+06	3.695047e+06
-4.400000e+00	-4.200000e+00	2.813227e+07	4.393523e+06	4.393523e+06
-4.200000e+00	-4.000000e+00	2.264305e+07	3.941649e+06	3.941649e+06
-4.000000e+00	-3.800000e+00	3.362149e+07	4.803071e+06	4.803071e+06
-3.800000e+00	-3.600000e+00	3.087689e+07	4.602854e+06	4.602854e+06
-3.600000e+00	-3.400000e+00	5.077530e+07	5.902512e+06	5.902512e+06
-3.400000e+00	-3.200000e+00	5.626455e+07	6.213379e+06	6.213379e+06
-3.200000e+00	-3.000000e+00	4.665840e+07	5.658162e+06	5.658162e+06
-3.000000e+00	-2.800000e+00	5.626455e+07	6.213379e+06	6.213379e+06
-2.800000e+00	-2.600000e+00	6.724300e+07	6.861530e+06	6.861530e+06
-2.600000e+00	-2.400000e+00	5.969530e+07	6.400010e+06	6.400010e+06
-2.400000e+00	-2.200000e+00	6.312610e+07	6.581349e+06	6.581349e+06
-2.200000e+00	-2.000000e+00	6.655685e+07	6.757823e+06	6.757823e+06
-2.000000e+00	-1.800000e+00	6.724300e+07	6.792568e+06	6.792568e+06
-1.800000e+00	-1.600000e+00	6.930145e+07	6.895752e+06	6.895752e+06
-1.600000e+00	-1.400000e+00	9.057220e+07	7.883297e+06	7.883297e+06
-1.400000e+00	-1.200000e+00	8.782760e+07	7.762934e+06	7.762934e+06
-1.200000e+00	-1.000000e+00	9.057220e+07	7.883297e+06	7.883297e+06
-1.000000e+00	-8.000000e-01	7.684915e+07	7.261561e+06	7.261561e+06
-8.000000e-01	-6.000000e-01	8.645530e+07	7.702048e+06	7.702048e+06
-6.000000e-01	-4.000000e-01	8.165220e+07	7.485045e+06	7.485045e+06
-4.000000e-01	-2.000000e-01	1.090984e+08	8.652060e+06	8.652060e+06
-2.000000e-01	0.000000e+00	1.008645e+08	8.319163e+06	8.319163e+06
0.000000e+00	2.000000e-01	8.988605e+07	7.853380e+06	7.853380e+06
2.000000e-01	4.000000e-01	9.331680e+07	8.001850e+06	8.001850e+06
4.000000e-01	6.000000e-01	1.042953e+08	8.459462e+06	8.459462e+06
6.000000e-01	8.000000e-01	9.880605e+07	8.233836e+06	8.233836e+06
8.000000e-01	1.000000e+00	8.096605e+07	7.453529e+06	7.453529e+06
1.000000e+00	1.200000e+00	9.057220e+07	7.883297e+06	7.883297e+06
1.200000e+00	1.400000e+00	8.371065e+07	7.578808e+06	7.578808e+06
1.400000e+00	1.600000e+00	9.057220e+07	7.883297e+06	7.883297e+06
1.600000e+00	1.800000e+00	7.684915e+07	7.261561e+06	7.261561e+06
1.800000e+00	2.000000e+00	8.233835e+07	7.516430e+06	7.516430e+06
2.000000e+00	2.200000e+00	7.753530e+07	7.358171e+06	7.358171e+06
2.200000e+00	2.400000e+00	6.243990e+07	6.545483e+06	6.545483e+06
2.400000e+00	2.600000e+00	6.175375e+07	6.509418e+06	6.509418e+06
2.600000e+00	2.800000e+00	6.449840e+07	6.652500e+06	6.652500e+06
2.800000e+00	3.000000e+00	6.038145e+07	6.436686e+06	6.436686e+06
3.000000e+00	3.200000e+00	4.597225e+07	5.699614e+06	5.699614e+06
3.200000e+00	3.400000e+00	5.283380e+07	6.020968e+06	6.020968e+06
3.400000e+00	3.600000e+00	3.705226e+07	5.134698e+06	5.134698e+06
3.600000e+00	3.800000e+00	3.911072e+07	5.270441e+06	5.270441e+06
3.800000e+00	4.000000e+00	4.665840e+07	5.822201e+06	5.822201e+06
4.000000e+00	4.200000e+00	2.401535e+07	4.059336e+06	4.059336e+06
4.200000e+00	4.400000e+00	1.989843e+07	3.695047e+06	3.695047e+06
4.400000e+00	4.600000e+00	1.715383e+07	3.430765e+06	3.430765e+06
4.600000e+00	4.800000e+00	1.578152e+07	3.290674e+06	3.290674e+06
4.800000e+00	5.000000e+00	9.606140e+06	2.567349e+06	2.567349e+06
# END HISTO1D

