# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_pmratio_1
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_pmratio_1
Title=Pseudorapidity $+/-$ ratio of first jet
LogY=1
XLabel=$|\eta(\mathrm{jet~1}|$
YLabel=$\eta(\mathrm{jet~1})_+/\eta(\mathrm{jet~1})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_pmratio_1
ErrorBreakdown={0: {"": {up: 0.1070735109995437, dn: 0.1070735109995437}}, 1: {"": {up: 0.09990443676093808, dn: 0.09990443676093808}}, 2: {"": {up: 0.1563457201765145, dn: 0.1563457201765145}}, 3: {"": {up: 0.1394142961355047, dn: 0.1394142961355047}}, 4: {"": {up: 0.1389881862809065, dn: 0.1389881862809065}}, 5: {"": {up: 0.1230914909793327, dn: 0.1230914909793327}}, 6: {"": {up: 0.120596572609653, dn: 0.120596572609653}}, 7: {"": {up: 0.1230914909793327, dn: 0.1230914909793327}}, 8: {"": {up: 0.1521656944549653, dn: 0.1521656944549653}}, 9: {"": {up: 0.1667169499183183, dn: 0.1667169499183183}}, 10: {"": {up: 0.1619046400598912, dn: 0.1619046400598912}}, 11: {"": {up: 0.146239434839337, dn: 0.146239434839337}}, 12: {"": {up: 0.1555353135237184, dn: 0.1555353135237184}}, 13: {"": {up: 0.139166365831327, dn: 0.139166365831327}}, 14: {"": {up: 0.1647195010853645, dn: 0.1647195010853645}}, 15: {"": {up: 0.1708762185559561, dn: 0.1708762185559561}}, 16: {"": {up: 0.1490126527496024, dn: 0.1490126527496024}}, 17: {"": {up: 0.1319941765304378, dn: 0.1319941765304378}}, 18: {"": {up: 0.2545390411249129, dn: 0.2545390411249129}}, 19: {"": {up: 0.2632315647882381, dn: 0.2632315647882381}}, 20: {"": {up: 0.2573460867698762, dn: 0.2573460867698762}}, 21: {"": {up: 0.1716217135595341, dn: 0.1716217135595341}}, 22: {"": {up: 0.2352718066279355, dn: 0.2352718066279355}}, 23: {"": {up: 0.4849102385525851, dn: 0.4849102385525851}}, 24: {"": {up: 0.2063351061985605, dn: 0.2063351061985605}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_pmratio_1
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	8.911565e-01	1.070735e-01	1.070735e-01
2.000000e-01	4.000000e-01	8.553459e-01	9.990444e-02	9.990444e-02
4.000000e-01	6.000000e-01	1.277311e+00	1.563457e-01	1.563457e-01
6.000000e-01	8.000000e-01	1.142857e+00	1.394143e-01	1.394143e-01
8.000000e-01	1.000000e+00	1.053571e+00	1.389882e-01	1.389882e-01
1.000000e+00	1.200000e+00	1.000000e+00	1.230915e-01	1.230915e-01
1.200000e+00	1.400000e+00	9.531250e-01	1.205966e-01	1.205966e-01
1.400000e+00	1.600000e+00	1.000000e+00	1.230915e-01	1.230915e-01
1.600000e+00	1.800000e+00	1.108911e+00	1.521657e-01	1.521657e-01
1.800000e+00	2.000000e+00	1.224490e+00	1.667169e-01	1.667169e-01
2.000000e+00	2.200000e+00	1.164948e+00	1.619046e-01	1.619046e-01
2.200000e+00	2.400000e+00	9.891304e-01	1.462394e-01	1.462394e-01
2.400000e+00	2.600000e+00	1.034483e+00	1.555353e-01	1.555353e-01
2.600000e+00	2.800000e+00	9.591837e-01	1.391664e-01	1.391664e-01
2.800000e+00	3.000000e+00	1.073171e+00	1.647195e-01	1.647195e-01
3.000000e+00	3.200000e+00	9.852941e-01	1.708762e-01	1.708762e-01
3.200000e+00	3.400000e+00	9.390244e-01	1.490127e-01	1.490127e-01
3.400000e+00	3.600000e+00	7.297297e-01	1.319942e-01	1.319942e-01
3.600000e+00	3.800000e+00	1.266667e+00	2.545390e-01	2.545390e-01
3.800000e+00	4.000000e+00	1.387755e+00	2.632316e-01	2.632316e-01
4.000000e+00	4.200000e+00	1.060606e+00	2.573461e-01	2.573461e-01
4.200000e+00	4.400000e+00	7.073171e-01	1.716217e-01	1.716217e-01
4.400000e+00	4.600000e+00	8.620690e-01	2.352718e-01	2.352718e-01
4.600000e+00	4.800000e+00	1.437500e+00	4.849102e-01	4.849102e-01
4.800000e+00	5.000000e+00	6.086957e-01	2.063351e-01	2.063351e-01
# END HISTO1D

