# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_pmratio_2
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_pmratio_2
Title=Pseudorapidity $+/-$ ratio of second jet
LogY=1
XLabel=$|\eta(\mathrm{jet~2}|$
YLabel=$\eta(\mathrm{jet~2})_+/\eta(\mathrm{jet~2})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_pmratio_2
ErrorBreakdown={0: {"": {up: 0.2481238286551684, dn: 0.2481238286551684}}, 1: {"": {up: 0.1964558805848072, dn: 0.1964558805848072}}, 2: {"": {up: 0.1730189683555098, dn: 0.1730189683555098}}, 3: {"": {up: 0.2512676879541256, dn: 0.2512676879541256}}, 4: {"": {up: 0.181912067920647, dn: 0.181912067920647}}, 5: {"": {up: 0.3629031780441559, dn: 0.3629031780441559}}, 6: {"": {up: 0.260897494337129, dn: 0.260897494337129}}, 7: {"": {up: 0.2361474645216415, dn: 0.2361474645216415}}, 8: {"": {up: 0.1644377709690264, dn: 0.1644377709690264}}, 9: {"": {up: 0.2416751981755233, dn: 0.2416751981755233}}, 10: {"": {up: 0.2838883452919344, dn: 0.2838883452919344}}, 11: {"": {up: 0.2066054483329338, dn: 0.2066054483329338}}, 12: {"": {up: 0.2693364120714958, dn: 0.2693364120714958}}, 13: {"": {up: 0.3066583634141614, dn: 0.3066583634141614}}, 14: {"": {up: 0.2495299864239131, dn: 0.2495299864239131}}, 15: {"": {up: 0.4380236332773841, dn: 0.4380236332773841}}, 16: {"": {up: 0.2439262183530094, dn: 0.2439262183530094}}, 17: {"": {up: 0.3752823692696579, dn: 0.3752823692696579}}, 18: {"": {up: 0.3372227765879934, dn: 0.3372227765879934}}, 19: {"": {up: 0.3922322702763681, dn: 0.3922322702763681}}, 20: {"": {up: 0.3369352914507474, dn: 0.3369352914507474}}, 21: {"": {up: 0.2774303382699748, dn: 0.2774303382699748}}, 22: {"": {up: 1.414213562373095, dn: 1.414213562373095}}, 23: {"": {up: 0.726636084983398, dn: 0.726636084983398}}, 24: {"": {up: 1.414213562373095, dn: 1.414213562373095}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_pmratio_2
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.128205e+00	2.481238e-01	2.481238e-01
2.000000e-01	4.000000e-01	8.536585e-01	1.964559e-01	1.964559e-01
4.000000e-01	6.000000e-01	7.872340e-01	1.730190e-01	1.730190e-01
6.000000e-01	8.000000e-01	1.108108e+00	2.512677e-01	2.512677e-01
8.000000e-01	1.000000e+00	9.038462e-01	1.819121e-01	1.819121e-01
1.000000e+00	1.200000e+00	1.517241e+00	3.629032e-01	3.629032e-01
1.200000e+00	1.400000e+00	1.184211e+00	2.608975e-01	2.608975e-01
1.400000e+00	1.600000e+00	1.075000e+00	2.361475e-01	2.361475e-01
1.600000e+00	1.800000e+00	7.111111e-01	1.644378e-01	1.644378e-01
1.800000e+00	2.000000e+00	9.354839e-01	2.416752e-01	2.416752e-01
2.000000e+00	2.200000e+00	1.133333e+00	2.838883e-01	2.838883e-01
2.200000e+00	2.400000e+00	7.878788e-01	2.066054e-01	2.066054e-01
2.400000e+00	2.600000e+00	9.615385e-01	2.693364e-01	2.693364e-01
2.600000e+00	2.800000e+00	1.083333e+00	3.066584e-01	3.066584e-01
2.800000e+00	3.000000e+00	7.727273e-01	2.495300e-01	2.495300e-01
3.000000e+00	3.200000e+00	1.473684e+00	4.380236e-01	4.380236e-01
3.200000e+00	3.400000e+00	7.000000e-01	2.439262e-01	2.439262e-01
3.400000e+00	3.600000e+00	1.210526e+00	3.752824e-01	3.752824e-01
3.600000e+00	3.800000e+00	1.052632e+00	3.372228e-01	3.372228e-01
3.800000e+00	4.000000e+00	1.000000e+00	3.922323e-01	3.922323e-01
4.000000e+00	4.200000e+00	9.375000e-01	3.369353e-01	3.369353e-01
4.200000e+00	4.400000e+00	5.833333e-01	2.774303e-01	2.774303e-01
4.400000e+00	4.600000e+00	2.000000e+00	1.414214e+00	1.414214e+00
4.600000e+00	4.800000e+00	1.200000e+00	7.266361e-01	7.266361e-01
4.800000e+00	5.000000e+00	1.000000e+00	1.414214e+00	1.414214e+00
# END HISTO1D

