# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_pmratio_3
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_pmratio_3
Title=Pseudorapidity $+/-$ ratio of third jet
LogY=1
XLabel=$|\eta(\mathrm{jet~3}|$
YLabel=$\eta(\mathrm{jet~3})_+/\eta(\mathrm{jet~3})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_pmratio_3
ErrorBreakdown={0: {"": {up: 0.3033826224835562, dn: 0.3033826224835562}}, 1: {"": {up: 0.2314550249431379, dn: 0.2314550249431379}}, 2: {"": {up: 0.3826382587209976, dn: 0.3826382587209976}}, 3: {"": {up: 0.2774303382699747, dn: 0.2774303382699747}}, 4: {"": {up: 0.6479390965872468, dn: 0.6479390965872468}}, 5: {"": {up: 0.2768286648668467, dn: 0.2768286648668467}}, 6: {"": {up: 0.3098740839015095, dn: 0.3098740839015095}}, 7: {"": {up: 0.4381780460041329, dn: 0.4381780460041329}}, 8: {"": {up: 0.8606629658238704, dn: 0.8606629658238704}}, 9: {"": {up: 6.48074069840786, dn: 6.48074069840786}}, 10: {"": {up: 0.8164965809277261, dn: 0.8164965809277261}}, 11: {"": {up: 0.6324555320336759, dn: 0.6324555320336759}}, 12: {"": {up: 4.47213595499958, dn: 4.47213595499958}}, 13: {"": {up: 1, dn: 1}}, 14: {"": {up: 0.3849001794597505, dn: 0.3849001794597505}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_eta_pmratio_3
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	8.125000e-01	3.033826e-01	3.033826e-01
3.333333e-01	6.666667e-01	5.000000e-01	2.314550e-01	2.314550e-01
6.666666e-01	1.000000e+00	9.166667e-01	3.826383e-01	3.826383e-01
1.000000e+00	1.333334e+00	5.833333e-01	2.774303e-01	2.774303e-01
1.333333e+00	1.666667e+00	1.285714e+00	6.479391e-01	6.479391e-01
1.666666e+00	2.000000e+00	5.454545e-01	2.768287e-01	2.768287e-01
2.000000e+00	2.333334e+00	5.555556e-01	3.098741e-01	3.098741e-01
2.333333e+00	2.666667e+00	6.000000e-01	4.381780e-01	4.381780e-01
2.666666e+00	3.000000e+00	1.666667e+00	8.606630e-01	8.606630e-01
3.000000e+00	3.333334e+00	6.000000e+00	6.480741e+00	6.480741e+00
3.333333e+00	3.666667e+00	1.000000e+00	8.164966e-01	8.164966e-01
3.666666e+00	4.000000e+00	1.000000e+00	6.324555e-01	6.324555e-01
4.000000e+00	4.333334e+00	4.000000e+00	4.472136e+00	4.472136e+00
4.333333e+00	4.666667e+00	1.000000e+00	1.000000e+00	1.000000e+00
4.666666e+00	5.000000e+00	3.333333e-01	3.849002e-01	3.849002e-01
# END HISTO1D

