# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_mass_1
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_mass_1
Title=Mass of first jet
LogY=1
XLabel=$m(\mathrm{jet~1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~1})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_mass_1
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_mass_1
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.047129e+00	2.911808e+06	2.911808e+06	2.911808e+06
1.047129e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.148154e+00	2.655596e+06	2.655597e+06	2.655597e+06
1.148154e+00	1.202264e+00	2.536141e+06	2.536141e+06	2.536141e+06
1.202264e+00	1.258925e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.258925e+00	1.318257e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+00	1.380384e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.380384e+00	1.445440e+00	6.328268e+06	3.653627e+06	3.653627e+06
1.445440e+00	1.513561e+00	2.014512e+06	2.014513e+06	2.014513e+06
1.513561e+00	1.584893e+00	1.923829e+06	1.923830e+06	1.923830e+06
1.584893e+00	1.659587e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.659587e+00	1.737801e+00	3.509106e+06	2.481313e+06	2.481313e+06
1.737801e+00	1.819701e+00	1.675587e+06	1.675587e+06	1.675587e+06
1.819701e+00	1.905461e+00	8.000851e+06	3.578089e+06	3.578089e+06
1.905461e+00	1.995262e+00	9.168980e+06	3.743220e+06	3.743220e+06
1.995262e+00	2.089296e+00	8.756233e+06	3.574717e+06	3.574717e+06
2.089296e+00	2.187762e+00	8.362111e+06	3.941937e+06	3.941937e+06
2.187762e+00	2.290868e+00	1.730256e+07	4.798867e+06	4.798867e+06
2.290868e+00	2.398833e+00	1.143959e+07	3.813196e+06	3.813196e+06
2.398833e+00	2.511886e+00	2.670493e+07	5.693511e+06	5.693511e+06
2.511886e+00	2.630268e+00	3.361733e+07	6.242583e+06	6.242583e+06
2.630268e+00	2.754229e+00	2.546207e+07	5.309209e+06	5.309209e+06
2.754229e+00	2.884032e+00	2.854500e+07	5.493487e+06	5.493487e+06
2.884032e+00	3.019952e+00	3.533749e+07	5.973125e+06	5.973125e+06
