# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_mass_2
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_mass_2
Title=Mass of second jet
LogY=1
XLabel=$m(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~2})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_mass_2
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_mass_2
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.202264e+00	1.297247e+06	1.297247e+06	1.297247e+06
1.202264e+00	1.318257e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+00	1.445440e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e+00	1.584893e+00	1.968127e+06	1.391676e+06	1.391676e+06
1.584893e+00	1.737801e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e+00	1.905461e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e+00	2.089296e+00	2.239464e+06	1.292955e+06	1.292955e+06
2.089296e+00	2.290868e+00	2.723208e+06	1.361604e+06	1.361604e+06
2.290868e+00	2.511886e+00	6.829928e+06	2.059300e+06	2.059300e+06
2.511886e+00	2.754229e+00	6.795191e+06	1.961603e+06	1.961603e+06
2.754229e+00	3.019952e+00	8.779519e+06	2.129346e+06	2.129346e+06
3.019952e+00	3.311311e+00	1.036204e+07	2.209194e+06	2.209194e+06
3.311311e+00	3.630781e+00	1.761184e+07	2.750507e+06	2.750507e+06
3.630781e+00	3.981072e+00	1.762928e+07	2.628017e+06	2.628017e+06
3.981072e+00	4.365158e+00	2.322394e+07	2.880574e+06	2.880574e+06
4.365158e+00	4.786301e+00	3.095602e+07	3.176020e+06	3.176020e+06
4.786301e+00	5.248075e+00	3.417585e+07	3.186914e+06	3.186914e+06
5.248075e+00	5.754399e+00	3.387916e+07	3.030243e+06	3.030243e+06
5.754399e+00	6.309573e+00	4.029113e+07	3.155845e+06	3.155845e+06
6.309573e+00	6.918310e+00	3.133545e+07	2.657839e+06	2.657839e+06
6.918310e+00	7.585776e+00	2.878391e+07	2.432685e+06	2.432685e+06
7.585776e+00	8.317638e+00	2.062598e+07	1.966609e+06	1.966609e+06
8.317638e+00	9.120108e+00	1.231274e+07	1.451070e+06	1.451070e+06
9.120108e+00	1.000000e+01	8.577965e+06	1.156653e+06	1.156653e+06
1.000000e+01	1.096478e+01	5.405132e+06	8.768281e+05	8.768281e+05
1.096478e+01	1.202264e+01	2.983669e+06	6.221380e+05	6.221380e+05
1.202264e+01	1.318257e+01	1.183094e+06	3.741271e+05	3.741271e+05
1.318257e+01	1.445440e+01	8.632011e+05	3.051876e+05	3.051876e+05
1.445440e+01	1.584893e+01	1.968127e+05	1.391676e+05	1.391676e+05
1.584893e+01	1.737801e+01	2.692415e+05	1.554467e+05	1.554467e+05
1.737801e+01	1.905461e+01	1.637011e+05	1.157541e+05	1.157541e+05
1.905461e+01	2.089296e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.089296e+01	2.290868e+01	6.808019e+04	6.808019e+04	6.808019e+04
2.290868e+01	2.511886e+01	6.209024e+04	6.209024e+04	6.209024e+04
2.511886e+01	2.754229e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.754229e+01	3.019952e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.019952e+01	3.311311e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.311311e+01	3.630781e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.630781e+01	3.981072e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+01	4.365158e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.365158e+01	4.786301e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+01	5.248075e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.248075e+01	5.754399e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e+01	6.309573e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.309573e+01	6.918310e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e+01	7.585776e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.585776e+01	8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	9.120108e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.120108e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

