# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_mass_3
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_mass_3
Title=Mass of third jet
LogY=1
XLabel=$m(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~3})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_mass_3
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_mass_3
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.149757e+00	1.321941e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.321941e+00	1.519911e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.519911e+00	1.747528e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.747528e+00	2.009233e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.009233e+00	2.310130e+00	9.121434e+05	6.449828e+05	6.449828e+05
2.310130e+00	2.656088e+00	3.966684e+05	3.966684e+05	3.966684e+05
2.656088e+00	3.053856e+00	1.725008e+06	7.714471e+05	7.714471e+05
3.053856e+00	3.511192e+00	1.800391e+06	7.350064e+05	7.350064e+05
3.511192e+00	4.037017e+00	2.870797e+06	8.655777e+05	8.655777e+05
4.037017e+00	4.641589e+00	3.858796e+06	9.358955e+05	9.358955e+05
4.641589e+00	5.336699e+00	5.132995e+06	1.006663e+06	1.006663e+06
5.336699e+00	6.135907e+00	5.666372e+06	9.863887e+05	9.863887e+05
6.135907e+00	7.054802e+00	4.629636e+06	8.315070e+05	8.315070e+05
7.054802e+00	8.111308e+00	4.286403e+06	7.461668e+05	7.461668e+05
8.111308e+00	9.326033e+00	2.372424e+06	5.177053e+05	5.177053e+05
9.326033e+00	1.072267e+01	7.860632e+05	2.779153e+05	2.779153e+05
1.072267e+01	1.232847e+01	2.563780e+05	1.480199e+05	1.480199e+05
1.232847e+01	1.417474e+01	7.432857e+04	7.432857e+04	7.432857e+04
1.417474e+01	1.629751e+01	6.464695e+04	6.464695e+04	6.464695e+04
1.629751e+01	1.873817e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.873817e+01	2.154435e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.154435e+01	2.477076e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.477076e+01	2.848036e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.848036e+01	3.274549e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.274549e+01	3.764936e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.764936e+01	4.328761e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.328761e+01	4.977024e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.977024e+01	5.722368e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.722368e+01	6.579332e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.579332e+01	7.564633e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.564633e+01	8.697490e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.697490e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

