# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_pT_2
XLabel=$p_\perp(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~2})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_pT_2
Title=Transverse momentum of second jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_pT_2
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_pT_2
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.113566e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.113566e+01	1.240029e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240029e+01	1.380853e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.380853e+01	1.537671e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.537671e+01	1.712297e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.712297e+01	1.906756e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.906756e+01	2.123298e+01	1.470269e+07	9.652789e+05	9.652789e+05
2.123298e+01	2.364431e+01	1.786998e+07	1.008461e+06	1.008461e+06
2.364431e+01	2.632950e+01	1.313436e+07	8.192991e+05	8.192991e+05
2.632950e+01	2.931963e+01	7.802069e+06	5.983914e+05	5.983914e+05
2.931963e+01	3.264933e+01	4.863264e+06	4.476998e+05	4.476998e+05
3.264933e+01	3.635717e+01	2.960875e+06	3.310358e+05	3.310358e+05
3.635717e+01	4.048610e+01	1.960945e+06	2.552933e+05	2.552933e+05
4.048610e+01	4.508393e+01	7.163236e+05	1.462190e+05	1.462190e+05
4.508393e+01	5.020392e+01	6.432696e+05	1.313069e+05	1.313069e+05
5.020392e+01	5.590536e+01	4.091808e+05	9.924093e+04	9.924093e+04
5.590536e+01	6.225429e+01	1.945328e+05	6.484427e+04	6.484427e+04
6.225429e+01	6.932425e+01	9.705189e+04	4.340293e+04	4.340293e+04
6.932425e+01	7.719710e+01	1.220161e+05	4.611775e+04	4.611775e+04
7.719710e+01	8.596404e+01	6.261277e+04	3.130639e+04	3.130639e+04
8.596404e+01	9.572661e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.572661e+01	1.065979e+02	1.262321e+04	1.262321e+04	1.262321e+04
1.065979e+02	1.187037e+02	3.400781e+04	1.963442e+04	1.963442e+04
1.187037e+02	1.321844e+02	1.017978e+04	1.017978e+04	1.017978e+04
1.321844e+02	1.471960e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.471960e+02	1.639124e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.639124e+02	1.825273e+02	7.372084e+03	7.372084e+03	7.372084e+03
1.825273e+02	2.032561e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.032561e+02	2.263390e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.263390e+02	2.520434e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.520434e+02	2.806668e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.806668e+02	3.125410e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.125410e+02	3.480349e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.480349e+02	3.875597e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.875597e+02	4.315732e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.315732e+02	4.805851e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.805851e+02	5.351631e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.351631e+02	5.959393e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.959393e+02	6.636175e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.636175e+02	7.389817e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.389817e+02	8.229047e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.229047e+02	9.163584e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.163584e+02	1.020425e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.020425e+03	1.136311e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.136311e+03	1.265356e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.265356e+03	1.409058e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.409058e+03	1.569078e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.569078e+03	1.747272e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.747272e+03	1.945702e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.945702e+03	2.166667e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

