# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~1})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_1
Title=Rapidity of first jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_1
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/MC_JETS/jet_y_1
ScaledBy=2.00000000070667569e-05
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.509536e+07	3.218343e+06	3.218343e+06
-4.800000e+00	-4.600000e+00	1.372306e+07	3.068570e+06	3.068570e+06
-4.600000e+00	-4.400000e+00	1.989844e+07	3.820338e+06	3.820338e+06
-4.400000e+00	-4.200000e+00	2.744612e+07	4.339613e+06	4.339613e+06
-4.200000e+00	-4.000000e+00	1.921228e+07	3.630781e+06	3.630781e+06
-4.000000e+00	-3.800000e+00	3.224919e+07	4.704028e+06	4.704028e+06
-3.800000e+00	-3.600000e+00	3.293535e+07	4.753807e+06	4.753807e+06
-3.600000e+00	-3.400000e+00	4.803071e+07	5.740769e+06	5.740769e+06
-3.400000e+00	-3.200000e+00	5.969530e+07	6.400010e+06	6.400010e+06
-3.200000e+00	-3.000000e+00	4.391379e+07	5.489224e+06	5.489224e+06
-3.000000e+00	-2.800000e+00	5.557840e+07	6.175377e+06	6.175377e+06
-2.800000e+00	-2.600000e+00	6.175375e+07	6.581349e+06	6.581349e+06
-2.600000e+00	-2.400000e+00	6.518455e+07	6.687793e+06	6.687793e+06
-2.400000e+00	-2.200000e+00	6.038145e+07	6.436686e+06	6.436686e+06
-2.200000e+00	-2.000000e+00	6.243990e+07	6.545483e+06	6.545483e+06
-2.000000e+00	-1.800000e+00	7.204605e+07	7.030976e+06	7.030976e+06
-1.800000e+00	-1.600000e+00	6.724300e+07	6.792568e+06	6.792568e+06
-1.600000e+00	-1.400000e+00	8.988605e+07	7.853380e+06	7.853380e+06
-1.400000e+00	-1.200000e+00	9.057220e+07	7.883297e+06	7.883297e+06
-1.200000e+00	-1.000000e+00	9.194450e+07	7.942795e+06	7.942795e+06
-1.000000e+00	-8.000000e-01	7.822145e+07	7.326109e+06	7.326109e+06
-8.000000e-01	-6.000000e-01	8.645530e+07	7.702048e+06	7.702048e+06
-6.000000e-01	-4.000000e-01	8.371065e+07	7.578808e+06	7.578808e+06
-4.000000e-01	-2.000000e-01	1.118430e+08	8.760215e+06	8.760215e+06
-2.000000e-01	0.000000e+00	1.029230e+08	8.403624e+06	8.403624e+06
0.000000e+00	2.000000e-01	9.400295e+07	8.031216e+06	8.031216e+06
2.000000e-01	4.000000e-01	9.743375e+07	8.176457e+06	8.176457e+06
4.000000e-01	6.000000e-01	1.070399e+08	8.570048e+06	8.570048e+06
6.000000e-01	8.000000e-01	9.057220e+07	7.883297e+06	7.883297e+06
8.000000e-01	1.000000e+00	8.782760e+07	7.762934e+06	7.762934e+06
1.000000e+00	1.200000e+00	9.400295e+07	8.031216e+06	8.031216e+06
1.200000e+00	1.400000e+00	7.959375e+07	7.390095e+06	7.390095e+06
1.400000e+00	1.600000e+00	9.400295e+07	8.031216e+06	8.031216e+06
1.600000e+00	1.800000e+00	7.616300e+07	7.229070e+06	7.229070e+06
1.800000e+00	2.000000e+00	8.302450e+07	7.547683e+06	7.547683e+06
2.000000e+00	2.200000e+00	7.547685e+07	7.261561e+06	7.261561e+06
2.200000e+00	2.400000e+00	5.626455e+07	6.213379e+06	6.213379e+06
2.400000e+00	2.600000e+00	6.449840e+07	6.652500e+06	6.652500e+06
2.600000e+00	2.800000e+00	6.998760e+07	6.929805e+06	6.929805e+06
2.800000e+00	3.000000e+00	5.557840e+07	6.175377e+06	6.175377e+06
3.000000e+00	3.200000e+00	4.528610e+07	5.658162e+06	5.658162e+06
3.200000e+00	3.400000e+00	5.214765e+07	6.059940e+06	6.059940e+06
3.400000e+00	3.600000e+00	3.705226e+07	5.042175e+06	5.042175e+06
3.600000e+00	3.800000e+00	3.773842e+07	5.180343e+06	5.180343e+06
3.800000e+00	4.000000e+00	4.459994e+07	5.699614e+06	5.699614e+06
4.000000e+00	4.200000e+00	2.675996e+07	4.285024e+06	4.285024e+06
4.200000e+00	4.400000e+00	1.509536e+07	3.218343e+06	3.218343e+06
4.400000e+00	4.600000e+00	1.852613e+07	3.565356e+06	3.565356e+06
4.600000e+00	4.800000e+00	1.440921e+07	3.144348e+06	3.144348e+06
4.800000e+00	5.000000e+00	8.919990e+06	2.473960e+06	2.473960e+06
# END HISTO1D

